Fin_Year;Value;DESCR;MaximumDate;Title_Desc
  All Time;506,19999999999999;    CSP;2022-03-15;Maximum Contribution (MW) - based on System Operator data (subject to metering verification)
  All Time;2099,5;   PV;2021-10-24;Maximum Contribution (MW) - based on System Operator data (subject to metering verification)
  All Time;2921;  Wind(Eskom+IPP);2022-07-01;Maximum Contribution (MW) - based on System Operator data (subject to metering verification)
  All Time;5126,1000000000004;Total RE;2022-09-05;Maximum Contribution (MW) - based on System Operator data (subject to metering verification)
2021-22;2099,5;   PV;2021-10-24;Maximum Contribution (MW) - based on System Operator data (subject to metering verification)
2021-22;2639,3000000000002;  Wind(Eskom+IPP);2021-12-15;Maximum Contribution (MW) - based on System Operator data (subject to metering verification)
2021-22;506,19999999999999;    CSP;2022-03-15;Maximum Contribution (MW) - based on System Operator data (subject to metering verification)
2021-22;4784,6999999999998;Total RE;2021-11-01;Maximum Contribution (MW) - based on System Operator data (subject to metering verification)
2022-23;503,80000000000001;    CSP;2022-10-07;Maximum Contribution (MW) - based on System Operator data (subject to metering verification)
2022-23;2034,9000000000001;   PV;2022-11-14;Maximum Contribution (MW) - based on System Operator data (subject to metering verification)
2022-23;2921;  Wind(Eskom+IPP);2022-07-01;Maximum Contribution (MW) - based on System Operator data (subject to metering verification)
2022-23;5126,1000000000004;Total RE;2022-09-05;Maximum Contribution (MW) - based on System Operator data (subject to metering verification)
