Date_Time_Hour_Beginning;Thermal_Gen_Excl_Pumping_and_SCO;Eskom_OCGT_SCO_Pumping;Eskom_Gas_SCO_Pumping;Hydro_Water_SCO_Pumping;Pumped_Water_SCO_Pumping;Thermal_Generation;Nuclear_Generation;International_Imports;Eskom_OCGT_Generation;Eskom_Gas_Generation;Dispatchable_IPP_OCGT;Hydro_Water_Generation;Pumped_Water_Generation;IOS_Excl_ILS_and_MLR;ILS_Usage;Manual_Load_Reduction_MLR;Wind;PV;CSP;Other_RE
2022-11-18 00:00:00;15957,267;-1,7330000000000001;-2;0;-1741;17702;1663;1093;679;0;0;605;0;0;0;1888,8710000000001;785,48199999999997;0;31,306999999999999;43,179000000000002
2022-11-18 01:00:00;15924,377;-1,7330000000000001;-2;0;-1760;17688,110000000001;1662;1101;650;0;0;606;0;0;0;1737,009;576,20799999999997;0;31,347999999999999;44,340000000000003
2022-11-18 02:00:00;15865,400000000001;-1,6000000000000001;-2;0;-1813;17682;1661;1103;672;0;0;605;0;0;0;1666,519;563,75999999999999;0;31,314;42,32
2022-11-18 03:00:00;16136,267;-1,7330000000000001;-2;0;-1542;17682;1661;1108;680;0;0;606;0;0;0;1638,633;578,78399999999999;0;31,254000000000001;42,662999999999997
2022-11-18 04:00:00;16994,267;-1,7330000000000001;-2;0;-348;17346;1661;1138;970;0;309,13999999999999;604;27;0;0;1595,3389999999999;377,815;0;34,825000000000003;41,715000000000003
2022-11-18 05:00:00;17852,332999999999;-0,66700000000000004;-2;0;-22;17877;1660;1158;1319;0;536,62699999999995;603;1256;0;0;1560,5699999999999;334,803;30,824999999999999;146,75800000000001;41,722999999999999
2022-11-18 06:00:00;18273,934000000001;-1,0660000000000001;-2;0;-32;18309;1659;1149;798;0;542,43600000000004;599;625;0;0;2967,2159999999999;307,12599999999998;471,11000000000001;177,268;41,945
2022-11-18 07:00:00;18409,400000000001;-1,6000000000000001;-2;0;-38;18451;1659;1122;622;0;105,489;602;287;0;0;3100,152;278,46600000000001;1153,663;155,46199999999999;43,563000000000002
2022-11-18 08:00:00;18481,400000000001;-1,6000000000000001;-2;0;-32;18517;1659;1110;488;0;0;604;739;0;0;2970,6199999999999;324,50700000000001;1603,473;306,37700000000001;42,938000000000002
2022-11-18 09:00:00;18413,400000000001;-1,6000000000000001;-2;0;-30;18447;1658;1082;388;0;0;600;504;0;0;3219,1790000000001;431,32999999999998;1808,1379999999999;413,35399999999998;42,960000000000001
2022-11-18 10:00:00;18037,534;-1,466;-2;0;-35;18076;1657;1130;520;0;0;604;336;0;0;3429,6329999999998;632,5;1913,2670000000001;435,26499999999999;40,409999999999997
2022-11-18 11:00:00;17739,267;-1,7330000000000001;-2;0;-33;17776;1657;1123;525;0;0;604;594;0;0;3495,8679999999999;805,21400000000006;1965,1579999999999;382,233;32,140999999999998
2022-11-18 12:00:00;17680,400000000001;-1,6000000000000001;-2;0;-40;17724;1656;1121;338;0;0;600;415;0;0;3552,6129999999998;1039,779;1970,366;350,67099999999999;30,170999999999999
2022-11-18 13:00:00;17740;-2;-2;0;-46;17790;1658;1156;160;0;0;598;203;1,667;0;3452,5349999999999;1323,6379999999999;1898,6579999999999;297,89499999999998;27,146000000000001
2022-11-18 14:00:00;17915,800999999999;-3,1989999999999998;-2;0;-440;18361;1658;1160;0;0;0;604;200;5;0;3370,0740000000001;1676,4159999999999;1723,1469999999999;201,82300000000001;24,417000000000002
2022-11-18 15:00:00;18043,534;-3,4660000000000002;-2;0;-216;18265;1658;1166;0;0;0;602;316;4,3330000000000002;0;3135,6709999999998;1901,8030000000001;1407,8040000000001;263,52100000000002;26,968
2022-11-18 16:00:00;18007,667000000001;-3,3330000000000002;-2;0;-25;18038;1657;1205;0;0;0;603;649;0;0;3051,2550000000001;2094,886;989,952;258,54500000000002;23,893999999999998
2022-11-18 17:00:00;18083,153999999999;-3,4660000000000002;-2;0;-33;18121,619999999999;1654;1178;0;0;0;602;604;0;0;3124,4279999999999;2336,846;554,64800000000002;255,649;29,803000000000001
2022-11-18 18:00:00;18133,667000000001;-3,3330000000000002;-2;0;-27;18166;1653;1135;23;0;0;604;1064;221;0;3171,1790000000001;2232,1080000000002;89,921999999999997;232,233;34,085000000000001
2022-11-18 19:00:00;18165,667000000001;-3,3330000000000002;-2;0;-12;18183;1652;1106;321;0;0;606;1702;221;0;3295,6959999999999;1858,7860000000001;0,28399999999999997;198,28200000000001;34,704999999999998
2022-11-18 20:00:00;18385,534;-3,4660000000000002;-2;0;-31;18422;1650;1102;270;0;0;599;664;0;0;3504,9560000000001;1592,183;0;220,767;33,222000000000001
2022-11-18 21:00:00;18240,397000000001;-3,3330000000000002;-2;0;-240;18485,73;1650;1115;0;0;0;603;60;0;0;2760,4960000000001;1429,075;0;263,88200000000001;33,423999999999999
2022-11-18 22:00:00;17565,667000000001;-3,3330000000000002;-2;0;-1004;18575;1650;1090;0;0;0;605;0;0;0;2645,134;1162,5719999999999;0;41,453000000000003;29,802
2022-11-18 23:00:00;16676,800999999999;-3,1989999999999998;-2;0;-2083;18765;1649;1098;0;0;0;604;0;0;0;2383,7190000000001;1115,2339999999999;0;28,195;26,821999999999999
2022-11-19 00:00:00;16355,534;-3,4660000000000002;-2;0;-2059;18420;1649;1103;0;0;0;604;0;0;0;2237,299;1033,7270000000001;0;27,728000000000002;39,271999999999998
2022-11-19 01:00:00;15752,667000000001;-3,3330000000000002;-2;0;-2545;18303;1648;1104;0;0;0;602;0;0;0;2519,011;1071,674;0;27,533000000000001;42,139000000000003
