Date_Time_Hour_Beginning;Thermal_Gen_Excl_Pumping_and_SCO;Eskom_OCGT_SCO_Pumping;Eskom_Gas_SCO_Pumping;Hydro_Water_SCO_Pumping;Pumped_Water_SCO_Pumping;Thermal_Generation;Nuclear_Generation;International_Imports;Eskom_OCGT_Generation;Eskom_Gas_Generation;Dispatchable_IPP_OCGT;Hydro_Water_Generation;Pumped_Water_Generation;IOS_Excl_ILS_and_MLR;ILS_Usage;Manual_Load_Reduction_MLR;Wind;PV;CSP;Other_RE
2023-03-07 00:00:00;15915;0;-2;0;-1372;17289;923;700;638;0;0;606;0;0;0;2967,279;1194,1179999999999;0;36,634999999999998;33,822000000000003
2023-03-07 01:00:00;15599;0;-2;0;-1899;17500;923;706;620;0;0;603;0;0;0;3008,326;1102,047;0;36,722000000000001;32,354999999999997
2023-03-07 02:00:00;15381;0;-2;0;-2081;17464;924;707;578;0;0;602;0;0;0;3139,7689999999998;1086,22;0;34,914999999999999;32,286000000000001
2023-03-07 03:00:00;15265;0;-2;0;-2355;17622;923;704;593;0;0;601;0;0;0;3328,3539999999998;1136,221;0;0,70399999999999996;32,981999999999999
2023-03-07 04:00:00;16534;0;-2;0;-1637;18173;924;695;609;0;0;605;0;0;0;3383,9540000000002;1166,7660000000001;0;0;34,203000000000003
2023-03-07 05:00:00;18091;0;-2;0;-105;18198;924;732;866;0;0;607;870;0;0;3201,4380000000001;1142,21;0;39,716000000000001;35,259
2023-03-07 06:00:00;18274;0;-2;0;-11;18287;924;762;838;0;0;606;1572;0;0;3539,7069999999999;1128,876;63,354999999999997;76,816999999999993;35,456000000000003
2023-03-07 07:00:00;18343;0;-2;0;-22;18367;924;735;821;0;0;603;316;0;0;3690,9859999999999;1036,8510000000001;616,87099999999998;78,346000000000004;36,033000000000001
2023-03-07 08:00:00;18467;0;-2;0;-19;18488;924;724;876;0;0;605;464;0;0;3337,8119999999999;962,51800000000003;1212,6590000000001;166,517;40,82
2023-03-07 09:00:00;18364;0;-2;0;-21;18387;924;749;781;0;0;604;0;0;0;3515,4740000000002;953,28099999999995;1504,49;327,08300000000003;40,618000000000002
2023-03-07 10:00:00;18288;0;-2;0;-23;18313;924;733;402;0;0;602;0;0;0;3620,3009999999999;1040,9570000000001;1689,104;431,32100000000003;43,606999999999999
2023-03-07 11:00:00;18355;0;-2;0;-20;18377;924;686;320;0;0;602;89;0;0;3477,866;1173,2059999999999;1758,3320000000001;430,14299999999997;47,097000000000001
2023-03-07 12:00:00;18039;0;-2;0;-56;18097;924;658;333;0;0;604;137;0;0;3539,9650000000001;1371,202;1766,8989999999999;430,63400000000001;47,478999999999999
2023-03-07 13:00:00;18030,467000000001;-0,53300000000000003;-2;0;-20;18053;925;705;176;0;0;603;0;46,667000000000002;0;3759,9740000000002;1580,4770000000001;1675,114;350,274;46,359999999999999
2023-03-07 14:00:00;17695,400000000001;-1,6000000000000001;-2;0;-133;17832;925;737;0;0;0;605;106;160;0;4193,2489999999998;1863,587;1517,559;345,72500000000002;40,247999999999998
2023-03-07 15:00:00;17771,400000000001;-1,6000000000000001;-2;0;-12;17787;925;726;0;0;0;605;541;0;0;4410,6700000000001;2132,085;1331,6859999999999;323,423;44,578000000000003
2023-03-07 16:00:00;17815,267;-1,7330000000000001;-2;0;-3;17822;925;668;39;0;0;603;1208;0;0;4767,741;2118,1930000000002;1078,057;327,99700000000001;47,222999999999999
2023-03-07 17:00:00;18091,400000000001;-1,6000000000000001;-2;0;-6;18101;925;661;277;0;0;603;1275;0;0;4681,3190000000004;2061,895;672,80399999999997;334,12299999999999;47,523000000000003
2023-03-07 18:00:00;18201,267;-1,7330000000000001;-2;0;-6;18211;924;660;256;0;0;603;1817;0;0;4794,4470000000001;2082,0799999999999;136,44200000000001;288,62400000000002;49,301000000000002
2023-03-07 19:00:00;18243,400000000001;-1,6000000000000001;-2;0;-13;18260;924;697;252;0;0;604;1330;0;0;5797,366;1923,7360000000001;0,29399999999999998;285,62400000000002;49,045999999999999
2023-03-07 20:00:00;18324,400000000001;-1,6000000000000001;-2;0;-20;18348;924;755;104;0;0;604;525;0;0;5307,982;1860,7059999999999;0;290,428;49,222000000000001
2023-03-07 21:00:00;16931,267;-1,7330000000000001;-2;0;-1272;18207;924;796;0;0;0;601;0;0;0;4993,308;1797,221;0;288,80500000000001;48,570999999999998
2023-03-07 22:00:00;16744,400000000001;-1,6000000000000001;-2;0;-1512;18260;925;752;0;0;0;608;0;0;0;4009,848;1639,731;0;86,096000000000004;46,750999999999998
2023-03-07 23:00:00;16368,267;-1,7330000000000001;-2;0;-1809;18181;924;784;0;0;0;606;0;0;0;3429,3780000000002;1533,5029999999999;0;35,792999999999999;46,423999999999999
