Week_Start_End_Date;Outage_Intervals;Class_Upper_IntVL;Total_T_Range;TTL_Per_INTERVAL;Total_T_Range_DESC
Sunday 2023-02-26 To Saturday 2023-03-04;14600; to 15200;1,000000;2;From_14600 To_15200
Sunday 2023-02-26 To Saturday 2023-03-04;15200; to 15800;14,000000;24;From_15200 To_15800
Sunday 2023-03-05 To Saturday 2023-03-11;15800; to 16400;4,000000;6;From_15800 To_16400
Sunday 2023-02-26 To Saturday 2023-03-04;15800; to 16400;12,000000;20;From_15800 To_16400
Sunday 2023-02-26 To Saturday 2023-03-04;16400; to 17000;11,000000;19;From_16400 To_17000
Sunday 2023-03-05 To Saturday 2023-03-11;16400; to 17000;12,000000;20;From_16400 To_17000
Sunday 2023-03-05 To Saturday 2023-03-11;17000; to 17600;18,000000;30;From_17000 To_17600
Sunday 2023-02-26 To Saturday 2023-03-04;17000; to 17600;22,000000;37;From_17000 To_17600
Sunday 2023-03-05 To Saturday 2023-03-11;17600; to 18200;17,000000;28;From_17600 To_18200
Sunday 2023-02-26 To Saturday 2023-03-04;17600; to 18200;23,000000;39;From_17600 To_18200
Sunday 2023-02-26 To Saturday 2023-03-04;18200; to 18800;13,000000;22;From_18200 To_18800
Sunday 2023-03-05 To Saturday 2023-03-11;18200; to 18800;16,000000;27;From_18200 To_18800
Sunday 2023-02-26 To Saturday 2023-03-04;18800; to 19400;1,000000;2;From_18800 To_19400
Sunday 2023-03-05 To Saturday 2023-03-11;18800; to 19400;4,000000;7;From_18800 To_19400
Sunday 2023-03-05 To Saturday 2023-03-11;19400; to 20000;1,000000;2;From_19400 To_20000
Sunday 2023-02-26 To Saturday 2023-03-04;19400; to 20000;2,000000;3;From_19400 To_20000
