YEAR_MONTH;PCLF;UCLF;OCLF
202204;11,4;29,600000000000001;1,3
202205;6,7000000000000002;32,100000000000001;0,90000000000000002
202206;7,2000000000000002;28,800000000000001;3
202207;7,0999999999999996;30,699999999999999;2
202208;9,1999999999999993;28,800000000000001;0,69999999999999996
202209;11,4;32,700000000000003;0,80000000000000004
202210;12;30;1,3
202211;10,5;30,800000000000001;2,1000000000000001
202212;14,5;33,700000000000003;1,3999999999999999
202301;13,300000000000001;33,399999999999999;2,2000000000000002
202302;10;34,700000000000003;2,6000000000000001
202303;11,1;33;1,2
202304;14,4;33,399999999999999;0,59999999999999998
202305;;;
202306;;;
202307;;;
202308;;;
202309;;;
202310;;;
202311;;;
202312;;;
202401;;;
202402;;;
202403;;;
