YEAR_MONTH;EAF;PCLF;UCLF;OCLF
202204;57,700000000000003;11,4;29,600000000000001;1,3
202205;60,299999999999997;6,7000000000000002;32,100000000000001;0,90000000000000002
202206;61;7,2000000000000002;28,800000000000001;3
202207;60,200000000000003;7,0999999999999996;30,699999999999999;2
202208;61,299999999999997;9,1999999999999993;28,800000000000001;0,69999999999999996
202209;55,100000000000001;11,4;32,700000000000003;0,80000000000000004
202210;56,700000000000003;12;30;1,3
202211;56,600000000000001;10,5;30,800000000000001;2,1000000000000001
202212;50,399999999999999;14,5;33,700000000000003;1,3999999999999999
202301;51,100000000000001;13,300000000000001;33,399999999999999;2,2000000000000002
202302;52,700000000000003;10;34,700000000000003;2,6000000000000001
202303;54,700000000000003;11,1;33;1,2
202304;51,200000000000003;14,1;33,899999999999999;0,80000000000000004
202305;;;;
202306;;;;
202307;;;;
202308;;;;
202309;;;;
202310;;;;
202311;;;;
202312;;;;
202401;;;;
202402;;;;
202403;;;;
