WeekStartDate;Forecast_Or_Actual_Value;Forecast_Or_Actual_Value_Legend
01-Jan-2024;0;2022-23-Residual Energy Demand
08-Jan-2024;0;2022-23-Residual Energy Demand
15-Jan-2024;0;2022-23-Residual Energy Demand
22-Jan-2024;0;2022-23-Residual Energy Demand
29-Jan-2024;0;2022-23-Residual Energy Demand
05-Feb-2024;0;2022-23-Residual Energy Demand
12-Feb-2024;0;2022-23-Residual Energy Demand
19-Feb-2024;0;2022-23-Residual Energy Demand
26-Feb-2024;0;2022-23-Residual Energy Demand
04-Mar-2024;0;2022-23-Residual Energy Demand
11-Mar-2024;0;2022-23-Residual Energy Demand
18-Mar-2024;0;2022-23-Residual Energy Demand
25-Mar-2024;0;2022-23-Residual Energy Demand
25-Dec-2023;3404,502;2022-23-Residual Energy Demand
18-Dec-2023;4191,058;2022-23-Residual Energy Demand
10-Apr-2023;4203,1180000000004;2022-23-Residual Energy Demand
24-Apr-2023;4259,991;2022-23-Residual Energy Demand
01-May-2023;4296,7399999999998;2022-23-Residual Energy Demand
17-Apr-2023;4310,8850000000002;2022-23-Residual Energy Demand
03-Apr-2023;4371,9660000000003;2022-23-Residual Energy Demand
11-Dec-2023;4395,1670000000004;2022-23-Residual Energy Demand
08-May-2023;4431,3040000000001;2022-23-Residual Energy Demand
15-May-2023;4465,7160000000003;2022-23-Residual Energy Demand
28-Aug-2023;4481,6689999999999;2022-23-Residual Energy Demand
02-Oct-2023;4488,5929999999998;2022-23-Residual Energy Demand
25-Sep-2023;4501,6809999999996;2022-23-Residual Energy Demand
04-Dec-2023;4516,5290000000005;2022-23-Residual Energy Demand
20-Nov-2023;4521,7860000000001;2022-23-Residual Energy Demand
18-Sep-2023;4521,8969999999999;2022-23-Residual Energy Demand
30-Oct-2023;4529,1670000000004;2022-23-Residual Energy Demand
23-Oct-2023;4530,0100000000002;2022-23-Residual Energy Demand
09-Oct-2023;4535,9570000000003;2022-23-Residual Energy Demand
04-Sep-2023;4538,9970000000003;2022-23-Residual Energy Demand
21-Aug-2023;4544,7420000000002;2022-23-Residual Energy Demand
06-Nov-2023;4550,6170000000002;2022-23-Residual Energy Demand
13-Nov-2023;4550,7640000000001;2022-23-Residual Energy Demand
27-Nov-2023;4552,1490000000003;2022-23-Residual Energy Demand
11-Sep-2023;4558,0129999999999;2022-23-Residual Energy Demand
16-Oct-2023;4561,0140000000001;2022-23-Residual Energy Demand
07-Aug-2023;4564,1989999999996;2022-23-Residual Energy Demand
31-Jul-2023;4609,634;2022-23-Residual Energy Demand
14-Aug-2023;4632,4539999999997;2022-23-Residual Energy Demand
12-Jun-2023;4633,0820000000003;2022-23-Residual Energy Demand
22-May-2023;4694,0119999999997;2022-23-Residual Energy Demand
26-Jun-2023;4714,5389999999998;2022-23-Residual Energy Demand
24-Jul-2023;4724,8689999999997;2022-23-Residual Energy Demand
17-Jul-2023;4725,2070000000003;2022-23-Residual Energy Demand
10-Jul-2023;4726,6239999999998;2022-23-Residual Energy Demand
29-May-2023;4741,6639999999998;2022-23-Residual Energy Demand
03-Jul-2023;4762,1090000000004;2022-23-Residual Energy Demand
05-Jun-2023;4766,8580000000002;2022-23-Residual Energy Demand
19-Jun-2023;4770,6710000000003;2022-23-Residual Energy Demand
25-Dec-2023;3363,77;2022-23-RSA Contracted Energy Demand
