FIN_YEARS_DESCR;Legend_Descr;ESKOM_OCGT_IPP
202204 / 202304;2022-23 Total (Eskom+IPP);1876,7
202204 / 202304;2023-24 Total (Eskom+IPP);1232,5
202205 / 202305;2023-24 Total (Eskom+IPP);0
202205 / 202305;2022-23 Total (Eskom+IPP);1904,3
202206 / 202306;2023-24 Total (Eskom+IPP);0
202206 / 202306;2022-23 Total (Eskom+IPP);1862,9000000000001
202207 / 202307;2023-24 Total (Eskom+IPP);0
202207 / 202307;2022-23 Total (Eskom+IPP);1813,8
202208 / 202308;2022-23 Total (Eskom+IPP);1938,5
202208 / 202308;2023-24 Total (Eskom+IPP);0
202209 / 202309;2022-23 Total (Eskom+IPP);1841,4000000000001
202209 / 202309;2023-24 Total (Eskom+IPP);0
202210 / 202310;2022-23 Total (Eskom+IPP);1908,2
202210 / 202310;2023-24 Total (Eskom+IPP);0
202211 / 202311;2022-23 Total (Eskom+IPP);1803,5
202211 / 202311;2023-24 Total (Eskom+IPP);0
202212 / 202312;2023-24 Total (Eskom+IPP);0
202212 / 202312;2022-23 Total (Eskom+IPP);1961
202301 / 202401;2022-23 Total (Eskom+IPP);2008,7
202301 / 202401;2023-24 Total (Eskom+IPP);0
202302 / 202402;2022-23 Total (Eskom+IPP);1637,9000000000001
202302 / 202402;2023-24 Total (Eskom+IPP);0
202303 / 202403;2023-24 Total (Eskom+IPP);0
202303 / 202403;2022-23 Total (Eskom+IPP);1792,9000000000001
