Date_Time_Hour_Beginning,Eskom OCGT Hourly LF,Eskom OCGT Daily LF
2023-04-18 00:00,0,15,156829543621997
2023-04-18 01:00,0,15,156829543621997
2023-04-18 02:00,0,15,156829543621997
2023-04-18 03:00,0,15,156829543621997
2023-04-18 04:00,0,12578616352201258,15,156829543621997
2023-04-18 05:00,5,1685212062570551,15,156829543621997
2023-04-18 06:00,11,161794180662104,15,156829543621997
2023-04-18 07:00,16,043783260764393,15,156829543621997
2023-04-18 08:00,16,739235607160136,15,156829543621997
2023-04-18 09:00,15,360425737784228,15,156829543621997
2023-04-18 10:00,13,964023397985661,15,156829543621997
2023-04-18 11:00,12,800354781486856,15,156829543621997
2023-04-18 12:00,11,815712105987867,15,156829543621997
2023-04-18 13:00,10,971732669845878,15,156829543621997
2023-04-18 14:00,10,240283825189486,15,156829543621997
2023-04-18 15:00,9,600266086115143,15,156829543621997
2023-04-18 16:00,9,0355445516377806,15,156829543621997
2023-04-18 17:00,9,1141213782723227,15,156829543621997
2023-04-18 18:00,11,608484200341202,15,156829543621997
2023-04-18 19:00,14,196903725205612,15,156829543621997
2023-04-18 20:00,15,366185177505931,15,156829543621997
2023-04-18 21:00,15,404406913840877,15,156829543621997
2023-04-18 22:00,15,529753265602322,15,156829543621997
2023-04-18 23:00,15,156829543621997,15,156829543621997
2023-04-19 00:00,14,550556361877117,16,144573455894211
2023-04-19 01:00,13,990919578727997,16,144573455894211
2023-04-19 02:00,13,472737372108442,16,144573455894211
2023-04-19 03:00,12,991568180247427,16,144573455894211
2023-04-19 04:00,12,653687669953124,16,144573455894211
2023-04-19 05:00,13,859054991130462,16,144573455894211
2023-04-19 06:00,15,447040279663529,16,144573455894211
2023-04-19 07:00,16,470125786163521,16,144573455894211
2023-04-19 08:00,17,453196698479719,16,144573455894211
2023-04-19 09:00,17,332593414724382,16,144573455894211
2023-04-19 10:00,16,837376460017968,16,144573455894211
2023-04-19 11:00,16,369671558350802,16,144573455894211
2023-04-19 12:00,15,927248002719702,16,144573455894211
2023-04-19 13:00,15,508109897384973,16,144573455894211
2023-04-19 14:00,15,110466053862282,16,144573455894211
2023-04-19 15:00,14,732704402515722,16,144573455894211
2023-04-19 16:00,14,373370148795829,16,144573455894211
2023-04-19 17:00,14,509180546916395,16,144573455894211
2023-04-19 18:00,15,257479101270238,16,144573455894211
2023-04-19 19:00,15,984958437788627,16,144573455894211
2023-04-19 20:00,16,516690856313499,16,144573455894211
2023-04-19 21:00,16,331166782356281,16,144573455894211
2023-04-19 22:00,15,983695148689128,16,144573455894211
2023-04-19 23:00,15,650701499758105,16,144573455894211
2023-04-20 00:00,15,33129942833447,32,17021448153524
2023-04-20 01:00,15,024673439767779,32,17021448153524
2023-04-20 02:00,14,730071999772331,32,17021448153524
2023-04-20 03:00,14,446801384392097,32,17021448153524
2023-04-20 04:00,14,192476563427078,32,17021448153524
2023-04-20 05:00,14,724327617409378,32,17021448153524
2023-04-20 06:00,15,563178959405374,32,17021448153524
2023-04-20 07:00,16,336650770613034,32,17021448153524
2023-04-20 08:00,16,966703163326798,32,17021448153524
2023-04-20 09:00,17,51080192849874,32,17021448153524
2023-04-20 10:00,17,460005083925775,32,17021448153524
2023-04-20 11:00,17,172230285437834,32,17021448153524
2023-04-20 12:00,16,89071831354541,32,17021448153524
2023-04-20 13:00,16,618287373004353,32,17021448153524
2023-04-20 14:00,16,573363743175065,32,17021448153524
2023-04-20 15:00,17,289550072568939,32,17021448153524
2023-04-20 16:00,18,06333965985635,32,17021448153524
2023-04-20 17:00,18,768966882174428,32,17021448153524
2023-04-20 18:00,19,435478630071703,32,17021448153524
2023-04-20 19:00,20,081675631065199,32,17021448153524
2023-04-20 20:00,20,533854988325867,32,17021448153524
2023-04-20 21:00,20,870136153155023,32,17021448153524
2023-04-20 22:00,21,015011209005362,32,17021448153524
2023-04-20 23:00,21,157205827017147,32,17021448153524
2023-04-21 00:00,21,227243506902333,45,726495726495727
2023-04-21 01:00,21,358150603433621,45,726495726495727
2023-04-21 02:00,21,499113046282858,45,726495726495727
2023-04-21 03:00,21,647824204924504,45,726495726495727
2023-04-21 04:00,21,789531223493487,45,726495726495727
2023-04-21 05:00,22,240829642861573,45,726495726495727
2023-04-21 06:00,22,735818436797658,45,726495726495727
2023-04-21 07:00,23,203313981615871,45,726495726495727
2023-04-21 08:00,23,665239178866013,45,726495726495727
2023-04-21 09:00,24,092298252445516,45,726495726495727
2023-04-21 10:00,24,39423878387279,45,726495726495727
2023-04-21 11:00,24,377404566083811,45,726495726495727
2023-04-21 12:00,24,222089416318052,45,726495726495727
2023-04-21 13:00,24,090638044126418,45,726495726495727
2023-04-21 14:00,24,106234255876416,45,726495726495727
2023-04-21 15:00,24,568984474644854,45,726495726495727
2023-04-21 16:00,24,9876333827998,45,726495726495727
2023-04-21 17:00,25,441057893888079,45,726495726495727
2023-04-21 18:00,25,84942875218637,45,726495726495727
2023-04-21 19:00,26,258387497107762,45,726495726495727
2023-04-21 20:00,26,643465414007107,45,726495726495727
2023-04-21 21:00,26,899916622919434,45,726495726495727
2023-04-21 22:00,27,099024775290914,45,726495726495727
2023-04-21 23:00,27,299528301886795,45,726495726495727
2023-04-22 00:00,27,488416401079306,46,875503950975649
2023-04-22 01:00,27,613222357157667,46,875503950975649
2023-04-22 02:00,27,755054170148508,46,875503950975649
2023-04-22 03:00,27,826802128688922,46,875503950975649
2023-04-22 04:00,28,070528388107313,46,875503950975649
2023-04-22 05:00,28,40670859538784,46,875503950975649
2023-04-22 06:00,28,770179567028809,46,875503950975649
2023-04-22 07:00,29,126660712292065,46,875503950975649
