DateTimeKey,Date Time Hour Beginning,Hourly UCLF+OCLF
2023-04-11 00:00:00,2023-04-11 00:00:00,15617,031000000001
2023-04-11 01:00:00,2023-04-11 01:00:00,15788,540999999999
2023-04-11 02:00:00,2023-04-11 02:00:00,16276,179
2023-04-11 03:00:00,2023-04-11 03:00:00,16272,719999999999
2023-04-11 04:00:00,2023-04-11 04:00:00,16278,324000000001
2023-04-11 05:00:00,2023-04-11 05:00:00,16181,866
2023-04-11 06:00:00,2023-04-11 06:00:00,16142,986000000001
2023-04-11 07:00:00,2023-04-11 07:00:00,16091,662
2023-04-11 08:00:00,2023-04-11 08:00:00,16032,166999999999
2023-04-11 09:00:00,2023-04-11 09:00:00,16158,712
2023-04-11 10:00:00,2023-04-11 10:00:00,16159,462
2023-04-11 11:00:00,2023-04-11 11:00:00,16251,737999999999
2023-04-11 12:00:00,2023-04-11 12:00:00,16336,145
2023-04-11 13:00:00,2023-04-11 13:00:00,16454,536
2023-04-11 14:00:00,2023-04-11 14:00:00,16493,255000000001
2023-04-11 15:00:00,2023-04-11 15:00:00,16657,115000000002
2023-04-11 16:00:00,2023-04-11 16:00:00,16614,155999999999
2023-04-11 17:00:00,2023-04-11 17:00:00,16339,388000000001
2023-04-11 18:00:00,2023-04-11 18:00:00,16256,219999999999
2023-04-11 19:00:00,2023-04-11 19:00:00,16132,727999999999
2023-04-11 20:00:00,2023-04-11 20:00:00,15864,42
2023-04-11 21:00:00,2023-04-11 21:00:00,16273,504000000001
2023-04-11 22:00:00,2023-04-11 22:00:00,16654,633000000002
2023-04-11 23:00:00,2023-04-11 23:00:00,17716,745999999999
2023-04-12 00:00:00,2023-04-12 00:00:00,17874,555
2023-04-12 01:00:00,2023-04-12 01:00:00,17963,448
2023-04-12 02:00:00,2023-04-12 02:00:00,17861,834999999999
2023-04-12 03:00:00,2023-04-12 03:00:00,17900,081999999999
2023-04-12 04:00:00,2023-04-12 04:00:00,17905,615000000002
2023-04-12 05:00:00,2023-04-12 05:00:00,17340,645
2023-04-12 06:00:00,2023-04-12 06:00:00,17139,902999999998
2023-04-12 07:00:00,2023-04-12 07:00:00,16574,569
2023-04-12 08:00:00,2023-04-12 08:00:00,16651,275000000001
2023-04-12 09:00:00,2023-04-12 09:00:00,16868,540000000001
2023-04-12 10:00:00,2023-04-12 10:00:00,17059,626
2023-04-12 11:00:00,2023-04-12 11:00:00,16868,545999999998
2023-04-12 12:00:00,2023-04-12 12:00:00,16978,642
2023-04-12 13:00:00,2023-04-12 13:00:00,17017,079000000002
2023-04-12 14:00:00,2023-04-12 14:00:00,17137,946
2023-04-12 15:00:00,2023-04-12 15:00:00,17114,427
2023-04-12 16:00:00,2023-04-12 16:00:00,16736,201000000001
2023-04-12 17:00:00,2023-04-12 17:00:00,16528,668000000001
2023-04-12 18:00:00,2023-04-12 18:00:00,16402,080000000002
2023-04-12 19:00:00,2023-04-12 19:00:00,16388,806
2023-04-12 20:00:00,2023-04-12 20:00:00,16686,514999999999
2023-04-12 21:00:00,2023-04-12 21:00:00,16754,559000000001
2023-04-12 22:00:00,2023-04-12 22:00:00,17075,744999999999
2023-04-12 23:00:00,2023-04-12 23:00:00,17263,550999999999
2023-04-13 00:00:00,2023-04-13 00:00:00,17647,144
2023-04-13 01:00:00,2023-04-13 01:00:00,17887,109
2023-04-13 02:00:00,2023-04-13 02:00:00,18036,878000000001
2023-04-13 03:00:00,2023-04-13 03:00:00,18017,361000000001
2023-04-13 04:00:00,2023-04-13 04:00:00,17733,379000000001
2023-04-13 05:00:00,2023-04-13 05:00:00,17417,477999999999
2023-04-13 06:00:00,2023-04-13 06:00:00,17362,223000000002
2023-04-13 07:00:00,2023-04-13 07:00:00,17257,412
2023-04-13 08:00:00,2023-04-13 08:00:00,17492,113000000001
