Week_Start_End_Date,Outage_Intervals,Class_Upper_IntVL,Total_T_Range,TTL_Per_INTERVAL,Total_T_Range_DESC
Monday 2023-04-17 To Sunday 2023-04-23,14200, to 14800,4,000000,7,From_14200 To_14800
Monday 2023-04-17 To Sunday 2023-04-23,14800, to 15400,17,000000,28,From_14800 To_15400
Monday 2023-04-10 To Sunday 2023-04-16,15400, to 16000,7,000000,11,From_15400 To_16000
Monday 2023-04-17 To Sunday 2023-04-23,15400, to 16000,34,000000,57,From_15400 To_16000
Monday 2023-04-10 To Sunday 2023-04-16,16000, to 16600,17,000000,28,From_16000 To_16600
Monday 2023-04-17 To Sunday 2023-04-23,16000, to 16600,32,000000,54,From_16000 To_16600
Monday 2023-04-17 To Sunday 2023-04-23,16600, to 17200,8,000000,13,From_16600 To_17200
Monday 2023-04-10 To Sunday 2023-04-16,16600, to 17200,23,000000,39,From_16600 To_17200
Monday 2023-04-17 To Sunday 2023-04-23,17200, to 17800,4,000000,7,From_17200 To_17800
Monday 2023-04-10 To Sunday 2023-04-16,17200, to 17800,27,000000,45,From_17200 To_17800
Monday 2023-04-17 To Sunday 2023-04-23,17800, to 18400,1,000000,2,From_17800 To_18400
Monday 2023-04-10 To Sunday 2023-04-16,17800, to 18400,24,000000,41,From_17800 To_18400
Monday 2023-04-10 To Sunday 2023-04-16,18400, to 19000,2,000000,4,From_18400 To_19000
