DateTimeKey,Available Capacity Incl Non Comm Units,Available_Capacity_Incl_Non_Comm_Units_Incl_Total_RE,Residual Demand,RSA Contracted Demand
2023-04-27 00:00:00,25899.933000000001,26773.933000000001,21453.580000000002,22327.859
2023-04-27 01:00:00,25808.130000000001,26938.130000000001,20673.462,21803.383999999998
2023-04-27 02:00:00,25884.893,27486.893,20241.362000000001,21843.23
2023-04-27 03:00:00,25923.119999999999,27871.119999999999,19910.080999999998,21857.612000000001
2023-04-27 04:00:00,25963.631000000001,27888.631000000001,20862.645,22787.151000000002
2023-04-27 05:00:00,26635.091,28601.091,20957.944,22923.862000000001
2023-04-27 06:00:00,27098.181,29183.181,22041.476999999999,24126.726999999999
2023-04-27 07:00:00,27163.842000000001,29712.842000000001,23372.556,25921.811000000002
2023-04-27 08:00:00,27095.344000000001,30585.344000000001,23892.189999999999,27382.566999999999
2023-04-27 09:00:00,27202.094000000001,31198.094000000001,23774.617999999999,27770.553
2023-04-27 10:00:00,27628.544000000002,31809.544000000002,23469.946,27650.510999999999
2023-04-27 11:00:00,27687.188999999998,31910.188999999998,23135.411,27358.883000000002
2023-04-27 12:00:00,27962.310000000001,31918.310000000001,22975.829000000002,26932.319
2023-04-27 13:00:00,27863.212,31870.212,22613.126,26620.344000000001
2023-04-27 14:00:00,27406.620999999999,31472.620999999999,22415.112000000001,26481.402999999998
2023-04-27 15:00:00,27604.649000000001,31338.649000000001,22868.363000000001,26602.488000000001
2023-04-27 16:00:00,27404.414000000001,30770.414000000001,24072.435000000001,27438.809000000001
2023-04-27 17:00:00,27390.255000000001,30145.255000000001,25521.075000000001,28275.59
2023-04-27 18:00:00,27563.734,29895.734,27362.349999999999,29694.373
2023-04-27 19:00:00,27866.175999999999,29906.175999999999,26352.615000000002,28392.803
2023-04-27 20:00:00,27768.599999999999,29478.599999999999,25133.147000000001,26843.084999999999
2023-04-27 21:00:00,27539.620999999999,28916.620999999999,23685.543000000001,25063.008999999998
2023-04-27 22:00:00,27225.312999999998,28375.312999999998,22289.074000000001,23438.734
2023-04-27 23:00:00,27201.554,28112.554,21283.800999999999,22195.147000000001
2023-04-28 00:00:00,27123.481,27810.481,20912.116000000002,21599.460999999999
2023-04-28 01:00:00,27249.308000000001,27729.308000000001,20690.288,21170.07
2023-04-28 02:00:00,27269.107,27634.107,20854.050999999999,21218.766
2023-04-28 03:00:00,27375.514999999999,27670.514999999999,20962.484,21257.737000000001
2023-04-28 04:00:00,27411.752,27709.752,21866.232,22163.909
2023-04-28 05:00:00,27573.308000000001,27903.308000000001,23151.748,23481.651999999998
2023-04-28 06:00:00,27895.137999999999,28274.137999999999,24607.695,24986.462
2023-04-28 07:00:00,27883.474999999999,28547.474999999999,25868.52,26532.355
2023-04-28 08:00:00,27890.543000000001,29413.543000000001,26174.703000000001,27697.348000000002
2023-04-28 09:00:00,28037.322,30103.322,25995.419999999998,28061.514999999999
2023-04-28 10:00:00,27918.483,30408.483,25578.883999999998,28069.237000000001
2023-04-28 11:00:00,27717.488000000001,30538.488000000001,25020.156999999999,27841.195
2023-04-28 12:00:00,27843.846000000001,30818.846000000001,24619.629000000001,27594.655999999999
2023-04-28 13:00:00,27852.350999999999,30883.350999999999,24242.088,27272.594000000001
2023-04-28 14:00:00,27695.504000000001,30653.504000000001,24237.016,27194.814999999999
2023-04-28 15:00:00,27558.237000000001,30614.237000000001,24085.782999999999,27142.120999999999
2023-04-28 16:00:00,27480.252,30017.252,25290.385999999999,27826.905999999999
2023-04-28 17:00:00,27424.284,29289.284,26915.044999999998,28780.244999999999
2023-04-28 18:00:00,27403.034,28972.034,28071.507000000001,29640.109
2023-04-28 19:00:00,27291.011999999999,28726.011999999999,26725.880000000001,28160.614000000001
2023-04-28 20:00:00,27287.984,28631.984,25219.380000000001,26563.358
2023-04-28 21:00:00,27151.052,28306.052,23866.941999999999,25022.435000000001
2023-04-28 22:00:00,26639.898000000001,27471.898000000001,22689.424999999999,23521.168000000001
2023-04-28 23:00:00,26710.661,27443.661,21401.544000000002,22134.170999999998
2023-04-29 00:00:00,26705.035,27406.035,20973.067999999999,21674.330000000002
2023-04-29 01:00:00,26765.266,27432.266,20558.118999999999,21224.988000000001
2023-04-29 02:00:00,26894.985000000001,27581.985000000001,20601.567999999999,21288.847000000002
2023-04-29 03:00:00,27570.918000000001,28281.918000000001,20398.848999999998,21110.062000000002
2023-04-29 04:00:00,27810.848999999998,28372.848999999998,21041.34,21603.794999999998
