Date_Time_Hour_Beginning,Thermal_Gen_Excl_Pumping_and_SCO,Eskom_OCGT_SCO_Pumping,Eskom_Gas_SCO_Pumping,Hydro_Water_SCO_Pumping,Pumped_Water_SCO_Pumping,Thermal_Generation,Nuclear_Generation,International_Imports,Eskom_OCGT_Generation,Eskom_Gas_Generation,Dispatchable_IPP_OCGT,Hydro_Water_Generation,Pumped_Water_Generation,IOS_Excl_ILS_and_MLR,ILS_Usage,Manual_Load_Reduction_MLR,Wind,PV,CSP,Other_RE
2023-04-25 00:00:00,16661.588,-3.4119999999999999,-2,0,-1754,18421,922,1141,0,0,0,122,0,0,0,2707.8110000000001,911.99800000000005,0,0,39.447000000000003
2023-04-25 01:00:00,16399.721000000001,-3.2789999999999999,-2,0,-1964,18369,922,1138,0,0,0,122,0,0,0,2984.1689999999999,796.28999999999996,0,0,39.441000000000003
2023-04-25 02:00:00,16620.721000000001,-3.2789999999999999,-2,0,-1871,18497,922,1139,0,0,0,122,0,0,0,2881.4499999999998,583.94600000000003,0,0,38.203000000000003
2023-04-25 03:00:00,16816.588,-3.4119999999999999,-2,0,-1659,18481,922,1148,0,0,0,122,0,0,0,2889.5419999999999,516.70799999999997,0,0,37.548999999999999
2023-04-25 04:00:00,18011.706999999999,-3.2930000000000001,-2,0,-486,18503,922,1170,213,0,0,234,0,0,0,2968.0419999999999,479.03500000000003,0,0,37.758000000000003
2023-04-25 05:00:00,18555.16,-0.83999999999999997,-2,0,-54,18612,922,1198,1273,0,322.01400000000001,297,1283,0,0,2556.7779999999998,353.69799999999998,0,0,37.338999999999999
2023-04-25 06:00:00,18716,0,-2,0,0,18718,922,1226,1795,0,623.77099999999996,534,1901,0,0,3128.364,297.37,2.6230000000000002,0,37.551000000000002
2023-04-25 07:00:00,18699,0,-2,0,-6,18707,922,1237,1677,0,631.93399999999997,513,1315,0,0,2850.694,205.96299999999999,266.714,0,38.012
2023-04-25 08:00:00,18603,0,-2,0,-22,18627,922,1221,1716,0,629.46600000000001,513,590,0,0,3002.8220000000001,162.15899999999999,941.87400000000002,1.6679999999999999,37.851999999999997
2023-04-25 09:00:00,18544,0,-2,0,-27,18573,922,1239,1383,0,527.91600000000005,512,96,0,0,3119.9830000000002,151.5,1292.0640000000001,53.072000000000003,19.510999999999999
2023-04-25 10:00:00,18351,0,-2,0,-16,18369,922,1218,1290,0,309.79899999999998,514,549,0,0,2966.0419999999999,111.884,1477.5840000000001,177.423,23.527000000000001
2023-04-25 11:00:00,18420,0,-2,0,-23,18445,922,1232,1329,0,307.572,513,208,0,0,2771.1599999999999,137.376,1565.211,195.44999999999999,32.386000000000003
2023-04-25 12:00:00,18308,0,-2,0,-24,18334,922,1244,1313,0,306.88600000000002,513,50,0,0,2679.9499999999998,210.34399999999999,1621.0930000000001,195.16999999999999,37.942
2023-04-25 13:00:00,18365,0,-2,0,-27,18394,922,1264,1257,0,179.679,423,0,0,0,2627.1790000000001,317.54700000000003,1596.106,221.33799999999999,40.029000000000003
2023-04-25 14:00:00,18365,0,-2,0,-23,18390,922,1318,1320,0,0,334,196,0,0,2727.1689999999999,403.38200000000001,1503.8230000000001,317.19999999999999,41.939
2023-04-25 15:00:00,18282,0,-2,0,-11,18295,922,1315,1264,0,0,422,735,0,0,2989.7939999999999,525.91099999999994,1306.3440000000001,328.21300000000002,42.414000000000001
2023-04-25 16:00:00,18446,0,-2,0,-28,18476,922,1230,1144,0,0,499,39,0,0,4831.6199999999999,766.25400000000002,892.28200000000004,350.32299999999998,41.171999999999997
2023-04-25 17:00:00,19024,0,-2,0,-18,19044,922,1295,1297,0,0,513,711,0,0,5155.1869999999999,956.71699999999998,178.27600000000001,327.09699999999998,43.052
2023-04-25 18:00:00,19114,0,-2,0,-10,19126,922,1181,1355,0,0,598,1266,321,0,6122.585,885.22799999999995,0.19500000000000001,309.08999999999997,43.744
2023-04-25 19:00:00,19159,0,-2,0,-42,19203,922,1136,1309,0,0,604,379,321,0,5833.5749999999998,716.65800000000002,0,307.346,42.302
2023-04-25 20:00:00,19080,0,-2,0,-137,19219,922,1127,1337,0,0,273,300,4.5,0,4736.6570000000002,601.11400000000003,0,305.27800000000002,40.469000000000001
2023-04-25 21:00:00,17974,0,-2,0,-988,18964,922,1160,1357,0,0,243,0,0,0,3990.201,443.69600000000003,0,217.5,39.872
2023-04-25 22:00:00,17100,0,-2,0,-1049,18151,922,1207,1369,0,0,122,0,0,0,3256.3429999999998,322.00599999999997,0,37.587000000000003,38.997999999999998
2023-04-25 23:00:00,16381,0,-2,0,-1494,17877,923,1209,1310,0,0,122,0,0,0,2707.2440000000001,222.976,0,37.822000000000003,39.637999999999998
2023-04-26 00:00:00,16043,0,-2,0,-1742,17787,922,1217,1203,0,0,243,0,0,0,2415.5700000000002,185.31800000000001,0,31.436,37.201999999999998
2023-04-26 01:00:00,16042,0,-2,0,-1823,17867,922,1225,905,0,0,122,0,0,0,2450.165,179.804,0,0,37.252000000000002
2023-04-26 02:00:00,16094,0,-2,0,-1881,17977,923,1230,926,0,0,122,0,0,0,2374.7049999999999,168.00299999999999,0,0,36.790999999999997
2023-04-26 03:00:00,16166,0,-2,0,-1844,18012,923,1242,1045,0,32.652999999999999,124,0,0,0,2402.739,153.511,0,0,37.087000000000003
2023-04-26 04:00:00,17476,0,-2,0,-587,18065,923,1289,1194,0,403.00099999999998,243,16,0,0,2531.0680000000002,115.77200000000001,0,0,34.591999999999999
2023-04-26 05:00:00,18179,0,-2,0,-6,18187,923,1257,1524,0,653.85699999999997,243,1373,0,372.5,1564.9059999999999,126.803,0,0,35.338999999999999
