Week_Start_End_Date,Outage_Intervals,Class_Upper_IntVL,Total_T_Range,TTL_Per_INTERVAL,Total_T_Range_DESC
Monday 2023-04-17 To Sunday 2023-04-23,14400, to 14800,4.000000,6,From_14400 To_14800
Monday 2023-04-17 To Sunday 2023-04-23,14800, to 15200,24.000000,40,From_14800 To_15200
Monday 2023-04-17 To Sunday 2023-04-23,15200, to 15600,33.000000,56,From_15200 To_15600
Monday 2023-04-24 To Sunday 2023-04-30,15600, to 16000,5.000000,8,From_15600 To_16000
Monday 2023-04-17 To Sunday 2023-04-23,15600, to 16000,23.000000,39,From_15600 To_16000
Monday 2023-04-17 To Sunday 2023-04-23,16000, to 16400,9.000000,15,From_16000 To_16400
Monday 2023-04-24 To Sunday 2023-04-30,16000, to 16400,12.000000,20,From_16000 To_16400
Monday 2023-04-17 To Sunday 2023-04-23,16400, to 16800,4.000000,6,From_16400 To_16800
Monday 2023-04-24 To Sunday 2023-04-30,16400, to 16800,26.000000,44,From_16400 To_16800
Monday 2023-04-17 To Sunday 2023-04-23,16800, to 17200,2.000000,4,From_16800 To_17200
Monday 2023-04-24 To Sunday 2023-04-30,16800, to 17200,33.000000,56,From_16800 To_17200
Monday 2023-04-17 To Sunday 2023-04-23,17200, to 17600,1.000000,2,From_17200 To_17600
Monday 2023-04-24 To Sunday 2023-04-30,17200, to 17600,15.000000,26,From_17200 To_17600
Monday 2023-04-24 To Sunday 2023-04-30,17600, to 18000,8.000000,14,From_17600 To_18000
