WeekStartDate;Forecast_Or_Actual_Value;Forecast_Or_Actual_Value_Legend
25-Dec-2023;3351,268;2022-23-Residual Energy Demand
01-Jan-2024;3620,5569999999998;2022-23-Residual Energy Demand
18-Dec-2023;3659,6089999999999;2022-23-Residual Energy Demand
18-Mar-2024;3821,3890000000001;2022-23-Residual Energy Demand
27-Nov-2023;3860,9090000000001;2022-23-Residual Energy Demand
23-Oct-2023;3885,6129999999998;2022-23-Residual Energy Demand
28-Aug-2023;3911,5189999999998;2022-23-Residual Energy Demand
20-Nov-2023;3924,0430000000001;2022-23-Residual Energy Demand
11-Dec-2023;3939,7649999999999;2022-23-Residual Energy Demand
10-Apr-2023;3953,9839999999999;2022-23-Residual Energy Demand
21-Aug-2023;3964,2710000000002;2022-23-Residual Energy Demand
30-Oct-2023;3969,4459999999999;2022-23-Residual Energy Demand
08-Jan-2024;3969,9769999999999;2022-23-Residual Energy Demand
24-Apr-2023;3995,0940000000001;2022-23-Residual Energy Demand
16-Oct-2023;3996,9250000000002;2022-23-Residual Energy Demand
04-Sep-2023;4007,2950000000001;2022-23-Residual Energy Demand
03-Apr-2023;4013,6550000000002;2022-23-Residual Energy Demand
09-Oct-2023;4017,942;2022-23-Residual Energy Demand
25-Mar-2024;4023,7330000000002;2022-23-Residual Energy Demand
13-Nov-2023;4024,7020000000002;2022-23-Residual Energy Demand
29-Jan-2024;4037,172;2022-23-Residual Energy Demand
07-Aug-2023;4039,7489999999998;2022-23-Residual Energy Demand
04-Dec-2023;4043,8229999999999;2022-23-Residual Energy Demand
22-Jan-2024;4046,998;2022-23-Residual Energy Demand
11-Mar-2024;4047,777;2022-23-Residual Energy Demand
06-Nov-2023;4048,1599999999999;2022-23-Residual Energy Demand
02-Oct-2023;4053,1199999999999;2022-23-Residual Energy Demand
17-Apr-2023;4065,4349999999999;2022-23-Residual Energy Demand
18-Sep-2023;4068,4780000000001;2022-23-Residual Energy Demand
04-Mar-2024;4070,3620000000001;2022-23-Residual Energy Demand
19-Feb-2024;4074,5250000000001;2022-23-Residual Energy Demand
15-Jan-2024;4077,4189999999999;2022-23-Residual Energy Demand
26-Feb-2024;4077,7289999999998;2022-23-Residual Energy Demand
12-Feb-2024;4079,3229999999999;2022-23-Residual Energy Demand
25-Sep-2023;4088,4499999999998;2022-23-Residual Energy Demand
01-May-2023;4091,8240000000001;2022-23-Residual Energy Demand
14-Aug-2023;4095,777;2022-23-Residual Energy Demand
11-Sep-2023;4098,3119999999999;2022-23-Residual Energy Demand
05-Feb-2024;4106,8919999999998;2022-23-Residual Energy Demand
05-Jun-2023;4148,3000000000002;2022-23-Residual Energy Demand
22-May-2023;4149,3149999999996;2022-23-Residual Energy Demand
24-Jul-2023;4161,2049999999999;2022-23-Residual Energy Demand
08-May-2023;4181,0810000000001;2022-23-Residual Energy Demand
12-Jun-2023;4193,3860000000004;2022-23-Residual Energy Demand
17-Jul-2023;4227,643;2022-23-Residual Energy Demand
15-May-2023;4232,2169999999996;2022-23-Residual Energy Demand
10-Jul-2023;4240,5609999999997;2022-23-Residual Energy Demand
29-May-2023;4253,6769999999997;2022-23-Residual Energy Demand
31-Jul-2023;4276,0299999999997;2022-23-Residual Energy Demand
26-Jun-2023;4318,4409999999998;2022-23-Residual Energy Demand
03-Jul-2023;4325,3639999999996;2022-23-Residual Energy Demand
19-Jun-2023;4437,3890000000001;2022-23-Residual Energy Demand
25-Dec-2023;3736,9870000000001;2022-23-RSA Contracted Energy Demand
01-Jan-2024;4037,4349999999999;2022-23-RSA Contracted Energy Demand
18-Dec-2023;4059,8690000000001;2022-23-RSA Contracted Energy Demand
18-Mar-2024;4194,3190000000004;2022-23-RSA Contracted Energy Demand
10-Apr-2023;4224,6149999999998;2022-23-RSA Contracted Energy Demand
11-Dec-2023;4255,0439999999999;2022-23-RSA Contracted Energy Demand
23-Oct-2023;4275,576;2022-23-RSA Contracted Energy Demand
27-Nov-2023;4280,1270000000004;2022-23-RSA Contracted Energy Demand
16-Oct-2023;4281,1480000000001;2022-23-RSA Contracted Energy Demand
24-Apr-2023;4289,0709999999999;2022-23-RSA Contracted Energy Demand
08-Jan-2024;4303,2960000000003;2022-23-RSA Contracted Energy Demand
21-Aug-2023;4316,0529999999999;2022-23-RSA Contracted Energy Demand
20-Nov-2023;4317,3450000000003;2022-23-RSA Contracted Energy Demand
28-Aug-2023;4320,2420000000002;2022-23-RSA Contracted Energy Demand
01-May-2023;4320,4089999999997;2022-23-RSA Contracted Energy Demand
30-Oct-2023;4327,585;2022-23-RSA Contracted Energy Demand
04-Sep-2023;4328,7430000000004;2022-23-RSA Contracted Energy Demand
09-Oct-2023;4331,1750000000002;2022-23-RSA Contracted Energy Demand
17-Apr-2023;4338,6480000000001;2022-23-RSA Contracted Energy Demand
07-Aug-2023;4341,5129999999999;2022-23-RSA Contracted Energy Demand
02-Oct-2023;4359,6260000000002;2022-23-RSA Contracted Energy Demand
25-Mar-2024;4366,3999999999996;2022-23-RSA Contracted Energy Demand
25-Sep-2023;4376,741;2022-23-RSA Contracted Energy Demand
03-Apr-2023;4378,7560000000003;2022-23-RSA Contracted Energy Demand
13-Nov-2023;4384,0249999999996;2022-23-RSA Contracted Energy Demand
11-Mar-2024;4388,4110000000001;2022-23-RSA Contracted Energy Demand
04-Dec-2023;4389,9589999999998;2022-23-RSA Contracted Energy Demand
18-Sep-2023;4398,4629999999997;2022-23-RSA Contracted Energy Demand
26-Feb-2024;4400,4170000000004;2022-23-RSA Contracted Energy Demand
06-Nov-2023;4401,2209999999995;2022-23-RSA Contracted Energy Demand
11-Sep-2023;4403,6620000000003;2022-23-RSA Contracted Energy Demand
15-Jan-2024;4408,8320000000003;2022-23-RSA Contracted Energy Demand
08-May-2023;4408,8500000000004;2022-23-RSA Contracted Energy Demand
29-Jan-2024;4411,777;2022-23-RSA Contracted Energy Demand
22-May-2023;4412,0320000000002;2022-23-RSA Contracted Energy Demand
05-Feb-2024;4416,8149999999996;2022-23-RSA Contracted Energy Demand
12-Feb-2024;4424,1549999999997;2022-23-RSA Contracted Energy Demand
22-Jan-2024;4429,2299999999996;2022-23-RSA Contracted Energy Demand
04-Mar-2024;4447,4880000000003;2022-23-RSA Contracted Energy Demand
19-Feb-2024;4450,4579999999996;2022-23-RSA Contracted Energy Demand
05-Jun-2023;4458,6959999999999;2022-23-RSA Contracted Energy Demand
24-Jul-2023;4478,1610000000001;2022-23-RSA Contracted Energy Demand
14-Aug-2023;4486,7389999999996;2022-23-RSA Contracted Energy Demand
29-May-2023;4507,5159999999996;2022-23-RSA Contracted Energy Demand
15-May-2023;4512,0299999999997;2022-23-RSA Contracted Energy Demand
31-Jul-2023;4521,9560000000001;2022-23-RSA Contracted Energy Demand
17-Jul-2023;4523,8379999999997;2022-23-RSA Contracted Energy Demand
12-Jun-2023;4533,8760000000002;2022-23-RSA Contracted Energy Demand
10-Jul-2023;4534,1890000000003;2022-23-RSA Contracted Energy Demand
03-Jul-2023;4589,9340000000002;2022-23-RSA Contracted Energy Demand
26-Jun-2023;4633,741;2022-23-RSA Contracted Energy Demand
19-Jun-2023;4672,1549999999997;2022-23-RSA Contracted Energy Demand
19-Jun-2023;;2023-24-Residual Energy Demand
26-Jun-2023;;2023-24-Residual Energy Demand
03-Jul-2023;;2023-24-Residual Energy Demand
10-Jul-2023;;2023-24-Residual Energy Demand
05-Jun-2023;;2023-24-Residual Energy Demand
12-Jun-2023;;2023-24-Residual Energy Demand
29-May-2023;;2023-24-Residual Energy Demand
15-May-2023;;2023-24-Residual Energy Demand
22-May-2023;;2023-24-Residual Energy Demand
08-May-2023;;2023-24-Residual Energy Demand
01-May-2023;;2023-24-Residual Energy Demand
10-Apr-2023;;2023-24-Residual Energy Demand
17-Apr-2023;;2023-24-Residual Energy Demand
24-Apr-2023;;2023-24-Residual Energy Demand
17-Jul-2023;;2023-24-Residual Energy Demand
24-Jul-2023;;2023-24-Residual Energy Demand
31-Jul-2023;;2023-24-Residual Energy Demand
14-Aug-2023;;2023-24-Residual Energy Demand
07-Aug-2023;;2023-24-Residual Energy Demand
21-Aug-2023;;2023-24-Residual Energy Demand
11-Sep-2023;;2023-24-Residual Energy Demand
18-Sep-2023;;2023-24-Residual Energy Demand
28-Aug-2023;;2023-24-Residual Energy Demand
04-Sep-2023;;2023-24-Residual Energy Demand
25-Sep-2023;;2023-24-Residual Energy Demand
02-Oct-2023;;2023-24-Residual Energy Demand
09-Oct-2023;;2023-24-Residual Energy Demand
12-Feb-2024;;2023-24-Residual Energy Demand
29-Jan-2024;;2023-24-Residual Energy Demand
05-Feb-2024;;2023-24-Residual Energy Demand
11-Mar-2024;;2023-24-Residual Energy Demand
26-Feb-2024;;2023-24-Residual Energy Demand
19-Feb-2024;;2023-24-Residual Energy Demand
04-Mar-2024;;2023-24-Residual Energy Demand
25-Mar-2024;;2023-24-Residual Energy Demand
18-Mar-2024;;2023-24-Residual Energy Demand
15-Jan-2024;;2023-24-Residual Energy Demand
22-Jan-2024;;2023-24-Residual Energy Demand
08-Jan-2024;;2023-24-Residual Energy Demand
01-Jan-2024;;2023-24-Residual Energy Demand
04-Dec-2023;;2023-24-Residual Energy Demand
11-Dec-2023;;2023-24-Residual Energy Demand
18-Dec-2023;;2023-24-Residual Energy Demand
25-Dec-2023;;2023-24-Residual Energy Demand
06-Nov-2023;;2023-24-Residual Energy Demand
13-Nov-2023;;2023-24-Residual Energy Demand
20-Nov-2023;;2023-24-Residual Energy Demand
27-Nov-2023;;2023-24-Residual Energy Demand
30-Oct-2023;;2023-24-Residual Energy Demand
16-Oct-2023;;2023-24-Residual Energy Demand
23-Oct-2023;;2023-24-Residual Energy Demand
03-Apr-2023;3878,3580000000002;2023-24-Residual Energy Demand
03-Apr-2023;;2023-24-Residual Energy Forecast
25-Dec-2023;3457,21;2023-24-Residual Energy Forecast
01-Jan-2024;3691,6590000000001;2023-24-Residual Energy Forecast
18-Dec-2023;3800,848;2023-24-Residual Energy Forecast
24-Apr-2023;3922,078;2023-24-Residual Energy Forecast
10-Apr-2023;3945,6660000000002;2023-24-Residual Energy Forecast
11-Dec-2023;3982,5790000000002;2023-24-Residual Energy Forecast
08-Jan-2024;3992,067;2023-24-Residual Energy Forecast
30-Oct-2023;3992,2260000000001;2023-24-Residual Energy Forecast
27-Nov-2023;3997,96;2023-24-Residual Energy Forecast
17-Apr-2023;4007,2350000000001;2023-24-Residual Energy Forecast
06-Nov-2023;4020,1329999999998;2023-24-Residual Energy Forecast
20-Nov-2023;4020,732;2023-24-Residual Energy Forecast
04-Dec-2023;4028,5230000000001;2023-24-Residual Energy Forecast
01-May-2023;4028,7370000000001;2023-24-Residual Energy Forecast
23-Oct-2023;4035,2190000000001;2023-24-Residual Energy Forecast
13-Nov-2023;4053,9000000000001;2023-24-Residual Energy Forecast
18-Mar-2024;4077,183;2023-24-Residual Energy Forecast
25-Sep-2023;4079,7379999999998;2023-24-Residual Energy Forecast
16-Oct-2023;4089,9769999999999;2023-24-Residual Energy Forecast
22-Jan-2024;4098,1859999999997;2023-24-Residual Energy Forecast
28-Aug-2023;4109,9579999999996;2023-24-Residual Energy Forecast
09-Oct-2023;4112,3050000000003;2023-24-Residual Energy Forecast
18-Sep-2023;4114,2759999999998;2023-24-Residual Energy Forecast
15-Jan-2024;4114,3689999999997;2023-24-Residual Energy Forecast
29-Jan-2024;4118,7600000000002;2023-24-Residual Energy Forecast
02-Oct-2023;4118,8540000000003;2023-24-Residual Energy Forecast
19-Feb-2024;4122,5839999999998;2023-24-Residual Energy Forecast
25-Mar-2024;4126,7619999999997;2023-24-Residual Energy Forecast
26-Feb-2024;4129,2169999999996;2023-24-Residual Energy Forecast
08-May-2023;4134,259;2023-24-Residual Energy Forecast
07-Aug-2023;4134,9949999999999;2023-24-Residual Energy Forecast
12-Feb-2024;4144,5940000000001;2023-24-Residual Energy Forecast
21-Aug-2023;4149,0140000000001;2023-24-Residual Energy Forecast
05-Feb-2024;4159,9440000000004;2023-24-Residual Energy Forecast
11-Mar-2024;4172,6670000000004;2023-24-Residual Energy Forecast
11-Sep-2023;4173,5810000000001;2023-24-Residual Energy Forecast
04-Mar-2024;4174,9489999999996;2023-24-Residual Energy Forecast
14-Aug-2023;4181,1660000000002;2023-24-Residual Energy Forecast
04-Sep-2023;4187,3649999999998;2023-24-Residual Energy Forecast
31-Jul-2023;4211,5889999999999;2023-24-Residual Energy Forecast
15-May-2023;4216,1610000000001;2023-24-Residual Energy Forecast
12-Jun-2023;4246,4870000000001;2023-24-Residual Energy Forecast
05-Jun-2023;4248,2799999999997;2023-24-Residual Energy Forecast
22-May-2023;4255,8710000000001;2023-24-Residual Energy Forecast
24-Jul-2023;4256,4210000000003;2023-24-Residual Energy Forecast
10-Jul-2023;4271,4340000000002;2023-24-Residual Energy Forecast
