WeekStartDate,Forecast_Or_Actual_Value,Forecast_Or_Actual_Value_Legend
2023-04-03 12:00:00 AM,,2022-23-Residual Peak Forecast
2023-04-03 12:00:00 AM,,2023-24-Residual Peak Forecast
2023-04-03 12:00:00 AM,28957,2022-23-Residual Peak Demand
2023-04-03 12:00:00 AM,29193,2023-24-Residual Peak Demand
2023-04-03 12:00:00 AM,30763,2022-23-RSA Contracted Peak Demand
2023-04-03 12:00:00 AM,30800,2023-24-RSA Contracted Peak Demand
2023-04-10 12:00:00 AM,31434,2023-24-RSA Contracted Peak Demand
2023-04-10 12:00:00 AM,31241,2022-23-RSA Contracted Peak Demand
2023-04-10 12:00:00 AM,30358,2023-24-Residual Peak Demand
2023-04-10 12:00:00 AM,29929,2022-23-Residual Peak Demand
2023-04-10 12:00:00 AM,,2023-24-Residual Peak Forecast
2023-04-10 12:00:00 AM,,2022-23-Residual Peak Forecast
2023-04-17 12:00:00 AM,,2022-23-Residual Peak Forecast
2023-04-17 12:00:00 AM,,2023-24-Residual Peak Forecast
2023-04-17 12:00:00 AM,30617,2022-23-Residual Peak Demand
2023-04-17 12:00:00 AM,30794,2023-24-Residual Peak Demand
2023-04-17 12:00:00 AM,31742,2022-23-RSA Contracted Peak Demand
2023-04-17 12:00:00 AM,32191,2023-24-RSA Contracted Peak Demand
2023-04-24 12:00:00 AM,,2023-24-RSA Contracted Peak Demand
2023-04-24 12:00:00 AM,31834,2022-23-RSA Contracted Peak Demand
2023-04-24 12:00:00 AM,,2023-24-Residual Peak Demand
2023-04-24 12:00:00 AM,30838,2022-23-Residual Peak Demand
2023-04-24 12:00:00 AM,30806,2023-24-Residual Peak Forecast
2023-04-24 12:00:00 AM,,2022-23-Residual Peak Forecast
2023-05-01 12:00:00 AM,30510,2023-24-Residual Peak Forecast
2023-05-01 12:00:00 AM,,2022-23-Residual Peak Forecast
2023-05-01 12:00:00 AM,30649,2022-23-Residual Peak Demand
2023-05-01 12:00:00 AM,,2023-24-Residual Peak Demand
2023-05-01 12:00:00 AM,,2023-24-RSA Contracted Peak Demand
2023-05-01 12:00:00 AM,31346,2022-23-RSA Contracted Peak Demand
2023-05-08 12:00:00 AM,32558,2022-23-RSA Contracted Peak Demand
2023-05-08 12:00:00 AM,,2023-24-RSA Contracted Peak Demand
2023-05-08 12:00:00 AM,,2023-24-Residual Peak Demand
2023-05-08 12:00:00 AM,31868,2022-23-Residual Peak Demand
2023-05-08 12:00:00 AM,,2022-23-Residual Peak Forecast
2023-05-08 12:00:00 AM,30978,2023-24-Residual Peak Forecast
2023-05-15 12:00:00 AM,31567,2023-24-Residual Peak Forecast
2023-05-15 12:00:00 AM,,2022-23-Residual Peak Forecast
2023-05-15 12:00:00 AM,31890,2022-23-Residual Peak Demand
2023-05-15 12:00:00 AM,,2023-24-Residual Peak Demand
2023-05-15 12:00:00 AM,,2023-24-RSA Contracted Peak Demand
2023-05-15 12:00:00 AM,33052,2022-23-RSA Contracted Peak Demand
2023-05-22 12:00:00 AM,32951,2022-23-RSA Contracted Peak Demand
2023-05-22 12:00:00 AM,,2023-24-RSA Contracted Peak Demand
2023-05-22 12:00:00 AM,,2023-24-Residual Peak Demand
2023-05-22 12:00:00 AM,32156,2022-23-Residual Peak Demand
2023-05-22 12:00:00 AM,,2022-23-Residual Peak Forecast
2023-05-22 12:00:00 AM,31917,2023-24-Residual Peak Forecast
2023-05-29 12:00:00 AM,32499,2023-24-Residual Peak Forecast
2023-05-29 12:00:00 AM,,2022-23-Residual Peak Forecast
2023-05-29 12:00:00 AM,32320,2022-23-Residual Peak Demand
2023-05-29 12:00:00 AM,,2023-24-Residual Peak Demand
2023-05-29 12:00:00 AM,33532,2022-23-RSA Contracted Peak Demand
2023-05-29 12:00:00 AM,,2023-24-RSA Contracted Peak Demand
2023-06-05 12:00:00 AM,,2023-24-RSA Contracted Peak Demand
2023-06-05 12:00:00 AM,32083,2022-23-RSA Contracted Peak Demand
2023-06-05 12:00:00 AM,,2023-24-Residual Peak Demand
2023-06-05 12:00:00 AM,31412,2022-23-Residual Peak Demand
2023-06-05 12:00:00 AM,,2022-23-Residual Peak Forecast
2023-06-05 12:00:00 AM,31626,2023-24-Residual Peak Forecast
2023-06-12 12:00:00 AM,31804,2023-24-Residual Peak Forecast
2023-06-12 12:00:00 AM,,2022-23-Residual Peak Forecast
2023-06-12 12:00:00 AM,31665,2022-23-Residual Peak Demand
2023-06-12 12:00:00 AM,,2023-24-Residual Peak Demand
2023-06-12 12:00:00 AM,32718,2022-23-RSA Contracted Peak Demand
2023-06-12 12:00:00 AM,,2023-24-RSA Contracted Peak Demand
2023-06-19 12:00:00 AM,,2023-24-RSA Contracted Peak Demand
2023-06-19 12:00:00 AM,34666,2022-23-RSA Contracted Peak Demand
2023-06-19 12:00:00 AM,,2023-24-Residual Peak Demand
2023-06-19 12:00:00 AM,33136,2022-23-Residual Peak Demand
2023-06-19 12:00:00 AM,,2022-23-Residual Peak Forecast
2023-06-19 12:00:00 AM,31791,2023-24-Residual Peak Forecast
2023-06-26 12:00:00 AM,31995,2023-24-Residual Peak Forecast
2023-06-26 12:00:00 AM,,2022-23-Residual Peak Forecast
2023-06-26 12:00:00 AM,32889,2022-23-Residual Peak Demand
2023-06-26 12:00:00 AM,,2023-24-Residual Peak Demand
2023-06-26 12:00:00 AM,,2023-24-RSA Contracted Peak Demand
2023-06-26 12:00:00 AM,33617,2022-23-RSA Contracted Peak Demand
2023-07-03 12:00:00 AM,33218,2022-23-RSA Contracted Peak Demand
2023-07-03 12:00:00 AM,,2023-24-RSA Contracted Peak Demand
2023-07-03 12:00:00 AM,,2023-24-Residual Peak Demand
2023-07-03 12:00:00 AM,32483,2022-23-Residual Peak Demand
2023-07-03 12:00:00 AM,,2022-23-Residual Peak Forecast
2023-07-03 12:00:00 AM,31966,2023-24-Residual Peak Forecast
2023-07-10 12:00:00 AM,32010,2023-24-Residual Peak Forecast
2023-07-10 12:00:00 AM,,2022-23-Residual Peak Forecast
2023-07-10 12:00:00 AM,32841,2022-23-Residual Peak Demand
2023-07-10 12:00:00 AM,,2023-24-Residual Peak Demand
2023-07-10 12:00:00 AM,,2023-24-RSA Contracted Peak Demand
2023-07-10 12:00:00 AM,33484,2022-23-RSA Contracted Peak Demand
2023-07-17 12:00:00 AM,33408,2022-23-RSA Contracted Peak Demand
2023-07-17 12:00:00 AM,,2023-24-RSA Contracted Peak Demand
2023-07-17 12:00:00 AM,,2023-24-Residual Peak Demand
2023-07-17 12:00:00 AM,32485,2022-23-Residual Peak Demand
2023-07-17 12:00:00 AM,,2022-23-Residual Peak Forecast
2023-07-17 12:00:00 AM,32045,2023-24-Residual Peak Forecast
2023-07-24 12:00:00 AM,32378,2023-24-Residual Peak Forecast
2023-07-24 12:00:00 AM,,2022-23-Residual Peak Forecast
2023-07-24 12:00:00 AM,31518,2022-23-Residual Peak Demand
2023-07-24 12:00:00 AM,,2023-24-Residual Peak Demand
2023-07-24 12:00:00 AM,,2023-24-RSA Contracted Peak Demand
2023-07-24 12:00:00 AM,32836,2022-23-RSA Contracted Peak Demand
2023-07-31 12:00:00 AM,33517,2022-23-RSA Contracted Peak Demand
2023-07-31 12:00:00 AM,,2023-24-RSA Contracted Peak Demand
2023-07-31 12:00:00 AM,,2023-24-Residual Peak Demand
2023-07-31 12:00:00 AM,32554,2022-23-Residual Peak Demand
2023-07-31 12:00:00 AM,,2022-23-Residual Peak Forecast
2023-07-31 12:00:00 AM,31681,2023-24-Residual Peak Forecast
2023-08-07 12:00:00 AM,31227,2023-24-Residual Peak Forecast
2023-08-07 12:00:00 AM,,2022-23-Residual Peak Forecast
2023-08-07 12:00:00 AM,30128,2022-23-Residual Peak Demand
2023-08-07 12:00:00 AM,,2023-24-Residual Peak Demand
2023-08-07 12:00:00 AM,,2023-24-RSA Contracted Peak Demand
2023-08-07 12:00:00 AM,31388,2022-23-RSA Contracted Peak Demand
2023-08-14 12:00:00 AM,32561,2022-23-RSA Contracted Peak Demand
2023-08-14 12:00:00 AM,,2023-24-RSA Contracted Peak Demand
2023-08-14 12:00:00 AM,,2023-24-Residual Peak Demand
2023-08-14 12:00:00 AM,31240,2022-23-Residual Peak Demand
2023-08-14 12:00:00 AM,,2022-23-Residual Peak Forecast
2023-08-14 12:00:00 AM,30828,2023-24-Residual Peak Forecast
2023-08-21 12:00:00 AM,30975,2023-24-Residual Peak Forecast
2023-08-21 12:00:00 AM,,2022-23-Residual Peak Forecast
2023-08-21 12:00:00 AM,30519,2022-23-Residual Peak Demand
2023-08-21 12:00:00 AM,32155,2022-23-RSA Contracted Peak Demand
2023-08-21 12:00:00 AM,,2023-24-Residual Peak Demand
2023-08-21 12:00:00 AM,,2023-24-RSA Contracted Peak Demand
2023-08-28 12:00:00 AM,,2023-24-RSA Contracted Peak Demand
2023-08-28 12:00:00 AM,31431,2022-23-RSA Contracted Peak Demand
2023-08-28 12:00:00 AM,,2023-24-Residual Peak Demand
2023-08-28 12:00:00 AM,,2022-23-Residual Peak Forecast
2023-08-28 12:00:00 AM,29274,2022-23-Residual Peak Demand
2023-08-28 12:00:00 AM,30475,2023-24-Residual Peak Forecast
2023-09-04 12:00:00 AM,30642,2023-24-Residual Peak Forecast
2023-09-04 12:00:00 AM,29923,2022-23-Residual Peak Demand
2023-09-04 12:00:00 AM,,2022-23-Residual Peak Forecast
2023-09-04 12:00:00 AM,,2023-24-Residual Peak Demand
2023-09-04 12:00:00 AM,31287,2022-23-RSA Contracted Peak Demand
2023-09-04 12:00:00 AM,,2023-24-RSA Contracted Peak Demand
2023-09-11 12:00:00 AM,,2023-24-RSA Contracted Peak Demand
2023-09-11 12:00:00 AM,31983,2022-23-RSA Contracted Peak Demand
2023-09-11 12:00:00 AM,,2023-24-Residual Peak Demand
2023-09-11 12:00:00 AM,,2022-23-Residual Peak Forecast
2023-09-11 12:00:00 AM,30818,2022-23-Residual Peak Demand
2023-09-11 12:00:00 AM,30633,2023-24-Residual Peak Forecast
2023-09-18 12:00:00 AM,29989,2023-24-Residual Peak Forecast
2023-09-18 12:00:00 AM,30213,2022-23-Residual Peak Demand
2023-09-18 12:00:00 AM,,2022-23-Residual Peak Forecast
2023-09-18 12:00:00 AM,,2023-24-Residual Peak Demand
2023-09-18 12:00:00 AM,,2023-24-RSA Contracted Peak Demand
2023-09-18 12:00:00 AM,31420,2022-23-RSA Contracted Peak Demand
2023-09-25 12:00:00 AM,,2023-24-RSA Contracted Peak Demand
2023-09-25 12:00:00 AM,31222,2022-23-RSA Contracted Peak Demand
2023-09-25 12:00:00 AM,,2023-24-Residual Peak Demand
2023-09-25 12:00:00 AM,29668,2022-23-Residual Peak Demand
2023-09-25 12:00:00 AM,29936,2023-24-Residual Peak Forecast
2023-09-25 12:00:00 AM,,2022-23-Residual Peak Forecast
2023-10-02 12:00:00 AM,,2022-23-Residual Peak Forecast
2023-10-02 12:00:00 AM,29659,2023-24-Residual Peak Forecast
2023-10-02 12:00:00 AM,29205,2022-23-Residual Peak Demand
2023-10-02 12:00:00 AM,,2023-24-Residual Peak Demand
2023-10-02 12:00:00 AM,30935,2022-23-RSA Contracted Peak Demand
2023-10-02 12:00:00 AM,,2023-24-RSA Contracted Peak Demand
2023-10-09 12:00:00 AM,,2023-24-RSA Contracted Peak Demand
2023-10-09 12:00:00 AM,30736,2022-23-RSA Contracted Peak Demand
2023-10-09 12:00:00 AM,,2023-24-Residual Peak Demand
2023-10-09 12:00:00 AM,29193,2022-23-Residual Peak Demand
2023-10-09 12:00:00 AM,29395,2023-24-Residual Peak Forecast
2023-10-09 12:00:00 AM,,2022-23-Residual Peak Forecast
2023-10-16 12:00:00 AM,,2022-23-Residual Peak Forecast
2023-10-16 12:00:00 AM,29309,2023-24-Residual Peak Forecast
2023-10-16 12:00:00 AM,29029,2022-23-Residual Peak Demand
2023-10-16 12:00:00 AM,,2023-24-Residual Peak Demand
2023-10-16 12:00:00 AM,30478,2022-23-RSA Contracted Peak Demand
2023-10-16 12:00:00 AM,,2023-24-RSA Contracted Peak Demand
2023-10-23 12:00:00 AM,,2023-24-Residual Peak Demand
2023-10-23 12:00:00 AM,30697,2022-23-RSA Contracted Peak Demand
2023-10-23 12:00:00 AM,,2023-24-RSA Contracted Peak Demand
2023-10-23 12:00:00 AM,,2022-23-Residual Peak Forecast
2023-10-23 12:00:00 AM,28326,2022-23-Residual Peak Demand
2023-10-23 12:00:00 AM,29015,2023-24-Residual Peak Forecast
2023-10-30 12:00:00 AM,28860,2023-24-Residual Peak Forecast
2023-10-30 12:00:00 AM,28424,2022-23-Residual Peak Demand
2023-10-30 12:00:00 AM,,2022-23-Residual Peak Forecast
2023-10-30 12:00:00 AM,,2023-24-RSA Contracted Peak Demand
2023-10-30 12:00:00 AM,30621,2022-23-RSA Contracted Peak Demand
2023-10-30 12:00:00 AM,,2023-24-Residual Peak Demand
2023-11-06 12:00:00 AM,,2023-24-Residual Peak Demand
2023-11-06 12:00:00 AM,30492,2022-23-RSA Contracted Peak Demand
2023-11-06 12:00:00 AM,,2023-24-RSA Contracted Peak Demand
2023-11-06 12:00:00 AM,,2022-23-Residual Peak Forecast
2023-11-06 12:00:00 AM,28803,2022-23-Residual Peak Demand
2023-11-06 12:00:00 AM,28381,2023-24-Residual Peak Forecast
2023-11-13 12:00:00 AM,28371,2023-24-Residual Peak Forecast
2023-11-13 12:00:00 AM,,2022-23-Residual Peak Forecast
2023-11-13 12:00:00 AM,28696,2022-23-Residual Peak Demand
2023-11-13 12:00:00 AM,,2023-24-RSA Contracted Peak Demand
2023-11-13 12:00:00 AM,,2023-24-Residual Peak Demand
2023-11-13 12:00:00 AM,30466,2022-23-RSA Contracted Peak Demand
2023-11-20 12:00:00 AM,,2023-24-RSA Contracted Peak Demand
2023-11-20 12:00:00 AM,30115,2022-23-RSA Contracted Peak Demand
2023-11-20 12:00:00 AM,,2023-24-Residual Peak Demand
2023-11-20 12:00:00 AM,28620,2022-23-Residual Peak Demand
2023-11-20 12:00:00 AM,,2022-23-Residual Peak Forecast
2023-11-20 12:00:00 AM,28220,2023-24-Residual Peak Forecast
2023-11-27 12:00:00 AM,27991,2023-24-Residual Peak Forecast
2023-11-27 12:00:00 AM,,2022-23-Residual Peak Forecast
2023-11-27 12:00:00 AM,27634,2022-23-Residual Peak Demand
2023-11-27 12:00:00 AM,,2023-24-Residual Peak Demand
2023-11-27 12:00:00 AM,29753,2022-23-RSA Contracted Peak Demand
2023-11-27 12:00:00 AM,,2023-24-RSA Contracted Peak Demand
2023-12-04 12:00:00 AM,,2023-24-RSA Contracted Peak Demand
2023-12-04 12:00:00 AM,30016,2022-23-RSA Contracted Peak Demand
2023-12-04 12:00:00 AM,,2023-24-Residual Peak Demand
2023-12-04 12:00:00 AM,27829,2022-23-Residual Peak Demand
2023-12-04 12:00:00 AM,,2022-23-Residual Peak Forecast
2023-12-04 12:00:00 AM,27880,2023-24-Residual Peak Forecast
2023-12-11 12:00:00 AM,27927,2023-24-Residual Peak Forecast
2023-12-11 12:00:00 AM,,2022-23-Residual Peak Forecast
2023-12-11 12:00:00 AM,27841,2022-23-Residual Peak Demand
2023-12-11 12:00:00 AM,,2023-24-Residual Peak Demand
2023-12-11 12:00:00 AM,29832,2022-23-RSA Contracted Peak Demand
2023-12-11 12:00:00 AM,,2023-24-RSA Contracted Peak Demand
2023-12-18 12:00:00 AM,28715,2022-23-RSA Contracted Peak Demand
2023-12-18 12:00:00 AM,,2023-24-Residual Peak Demand
2023-12-18 12:00:00 AM,,2023-24-RSA Contracted Peak Demand
2023-12-18 12:00:00 AM,26223,2022-23-Residual Peak Demand
2023-12-18 12:00:00 AM,,2022-23-Residual Peak Forecast
2023-12-18 12:00:00 AM,26752,2023-24-Residual Peak Forecast
2023-12-25 12:00:00 AM,24130,2023-24-Residual Peak Forecast
2023-12-25 12:00:00 AM,,2022-23-Residual Peak Forecast
2023-12-25 12:00:00 AM,23278,2022-23-Residual Peak Demand
2023-12-25 12:00:00 AM,,2023-24-RSA Contracted Peak Demand
2023-12-25 12:00:00 AM,,2023-24-Residual Peak Demand
2023-12-25 12:00:00 AM,26237,2022-23-RSA Contracted Peak Demand
2024-01-01 12:00:00 AM,28276,2022-23-RSA Contracted Peak Demand
2024-01-01 12:00:00 AM,,2023-24-Residual Peak Demand
2024-01-01 12:00:00 AM,,2023-24-RSA Contracted Peak Demand
2024-01-01 12:00:00 AM,25785,2022-23-Residual Peak Demand
2024-01-01 12:00:00 AM,,2022-23-Residual Peak Forecast
2024-01-01 12:00:00 AM,25810,2023-24-Residual Peak Forecast
2024-01-08 12:00:00 AM,27404,2023-24-Residual Peak Forecast
2024-01-08 12:00:00 AM,,2022-23-Residual Peak Forecast
2024-01-08 12:00:00 AM,27943,2022-23-Residual Peak Demand
2024-01-08 12:00:00 AM,,2023-24-RSA Contracted Peak Demand
2024-01-08 12:00:00 AM,,2023-24-Residual Peak Demand
2024-01-08 12:00:00 AM,29271,2022-23-RSA Contracted Peak Demand
2024-01-15 12:00:00 AM,,2023-24-RSA Contracted Peak Demand
2024-01-15 12:00:00 AM,29865,2022-23-RSA Contracted Peak Demand
2024-01-15 12:00:00 AM,,2023-24-Residual Peak Demand
2024-01-15 12:00:00 AM,28238,2022-23-Residual Peak Demand
2024-01-15 12:00:00 AM,,2022-23-Residual Peak Forecast
2024-01-15 12:00:00 AM,28156,2023-24-Residual Peak Forecast
2024-01-22 12:00:00 AM,28129,2023-24-Residual Peak Forecast
2024-01-22 12:00:00 AM,,2022-23-Residual Peak Forecast
2024-01-22 12:00:00 AM,28664,2022-23-Residual Peak Demand
2024-01-22 12:00:00 AM,,2023-24-Residual Peak Demand
2024-01-22 12:00:00 AM,30172,2022-23-RSA Contracted Peak Demand
2024-01-22 12:00:00 AM,,2023-24-RSA Contracted Peak Demand
2024-01-29 12:00:00 AM,,2023-24-RSA Contracted Peak Demand
2024-01-29 12:00:00 AM,30508,2022-23-RSA Contracted Peak Demand
2024-01-29 12:00:00 AM,,2023-24-Residual Peak Demand
2024-01-29 12:00:00 AM,28260,2022-23-Residual Peak Demand
2024-01-29 12:00:00 AM,,2022-23-Residual Peak Forecast
2024-01-29 12:00:00 AM,28346,2023-24-Residual Peak Forecast
2024-02-05 12:00:00 AM,28940,2023-24-Residual Peak Forecast
2024-02-05 12:00:00 AM,,2022-23-Residual Peak Forecast
2024-02-05 12:00:00 AM,28466,2022-23-Residual Peak Demand
2024-02-05 12:00:00 AM,,2023-24-Residual Peak Demand
2024-02-05 12:00:00 AM,30345,2022-23-RSA Contracted Peak Demand
2024-02-05 12:00:00 AM,,2023-24-RSA Contracted Peak Demand
2024-02-12 12:00:00 AM,30500,2022-23-RSA Contracted Peak Demand
2024-02-12 12:00:00 AM,,2023-24-Residual Peak Demand
2024-02-12 12:00:00 AM,,2023-24-RSA Contracted Peak Demand
2024-02-12 12:00:00 AM,28488,2022-23-Residual Peak Demand
2024-02-12 12:00:00 AM,,2022-23-Residual Peak Forecast
2024-02-12 12:00:00 AM,29065,2023-24-Residual Peak Forecast
2024-02-19 12:00:00 AM,29199,2023-24-Residual Peak Forecast
2024-02-19 12:00:00 AM,,2022-23-Residual Peak Forecast
2024-02-19 12:00:00 AM,29405,2022-23-Residual Peak Demand
2024-02-19 12:00:00 AM,,2023-24-RSA Contracted Peak Demand
2024-02-19 12:00:00 AM,,2023-24-Residual Peak Demand
2024-02-19 12:00:00 AM,30663,2022-23-RSA Contracted Peak Demand
2024-02-26 12:00:00 AM,30558,2022-23-RSA Contracted Peak Demand
2024-02-26 12:00:00 AM,,2023-24-Residual Peak Demand
2024-02-26 12:00:00 AM,,2023-24-RSA Contracted Peak Demand
2024-02-26 12:00:00 AM,28746,2022-23-Residual Peak Demand
2024-02-26 12:00:00 AM,,2022-23-Residual Peak Forecast
2024-02-26 12:00:00 AM,29006,2023-24-Residual Peak Forecast
2024-03-04 12:00:00 AM,29552,2023-24-Residual Peak Forecast
2024-03-04 12:00:00 AM,,2022-23-Residual Peak Forecast
2024-03-04 12:00:00 AM,28809,2022-23-Residual Peak Demand
2024-03-04 12:00:00 AM,,2023-24-RSA Contracted Peak Demand
2024-03-04 12:00:00 AM,,2023-24-Residual Peak Demand
2024-03-04 12:00:00 AM,30465,2022-23-RSA Contracted Peak Demand
2024-03-11 12:00:00 AM,30491,2022-23-RSA Contracted Peak Demand
2024-03-11 12:00:00 AM,,2023-24-Residual Peak Demand
2024-03-11 12:00:00 AM,,2023-24-RSA Contracted Peak Demand
2024-03-11 12:00:00 AM,28956,2022-23-Residual Peak Demand
2024-03-11 12:00:00 AM,,2022-23-Residual Peak Forecast
2024-03-11 12:00:00 AM,29236,2023-24-Residual Peak Forecast
2024-03-18 12:00:00 AM,29480,2023-24-Residual Peak Forecast
2024-03-18 12:00:00 AM,,2022-23-Residual Peak Forecast
2024-03-18 12:00:00 AM,27289,2022-23-Residual Peak Demand
2024-03-18 12:00:00 AM,,2023-24-Residual Peak Demand
2024-03-18 12:00:00 AM,29799,2022-23-RSA Contracted Peak Demand
