Week_Start;IPP OCGT Weekly LF;IPP OCGT Annual LF
2023-04-01;16,703662209093125;16,370000000000001
2023-04-10;0;14,73
2023-04-17;;0
2023-04-24;;0
2023-05-01;;0
2023-05-08;;0
2023-05-15;;0
2023-05-22;;0
2023-05-29;;0
2023-06-05;;0
2023-06-12;;0
2023-06-19;;0
2023-06-26;;0
2023-07-03;;0
2023-07-10;;0
2023-07-17;;0
2023-07-24;;0
2023-07-31;;0
2023-08-07;;0
2023-08-14;;0
2023-08-21;;0
2023-08-28;;0
2023-09-04;;0
2023-09-11;;0
2023-09-18;;0
2023-09-25;;0
2023-10-02;;0
2023-10-09;;0
2023-10-16;;0
2023-10-23;;0
2023-10-30;;0
2023-11-06;;0
2023-11-13;;0
2023-11-20;;0
2023-11-27;;0
2023-12-04;;0
2023-12-11;;0
2023-12-18;;0
2023-12-25;;0
2024-01-01;;0
2024-01-08;;0
2024-01-15;;0
2024-01-22;;0
2024-01-29;;0
2024-02-05;;0
2024-02-12;;0
2024-02-19;;0
2024-02-26;;0
2024-03-04;;0
2024-03-11;;0
2024-03-18;;0
2024-03-25;;0
