FIN_YEARS_DESCR,Legend_Descr,ESKOM_OCGT_IPP
202204 / 202304,2022-23 Total (Eskom+IPP),327.10000000000002
202204 / 202304,2023-24 Total (Eskom+IPP),470.19999999999999
202205 / 202305,2023-24 Total (Eskom+IPP),70.799999999999997
202205 / 202305,2022-23 Total (Eskom+IPP),332.89999999999998
202206 / 202306,2023-24 Total (Eskom+IPP),0
202206 / 202306,2022-23 Total (Eskom+IPP),434.60000000000002
202207 / 202307,2023-24 Total (Eskom+IPP),0
202207 / 202307,2022-23 Total (Eskom+IPP),259.30000000000001
202208 / 202308,2022-23 Total (Eskom+IPP),254.5
202208 / 202308,2023-24 Total (Eskom+IPP),0
202209 / 202309,2022-23 Total (Eskom+IPP),488.80000000000001
202209 / 202309,2023-24 Total (Eskom+IPP),0
202210 / 202310,2022-23 Total (Eskom+IPP),380.60000000000002
202210 / 202310,2023-24 Total (Eskom+IPP),0
202211 / 202311,2022-23 Total (Eskom+IPP),203.30000000000001
202211 / 202311,2023-24 Total (Eskom+IPP),0
202212 / 202312,2023-24 Total (Eskom+IPP),0
202212 / 202312,2022-23 Total (Eskom+IPP),352.69999999999999
202301 / 202401,2022-23 Total (Eskom+IPP),392.60000000000002
202301 / 202401,2023-24 Total (Eskom+IPP),0
202302 / 202402,2022-23 Total (Eskom+IPP),376.19999999999999
202302 / 202402,2023-24 Total (Eskom+IPP),0
202303 / 202403,2023-24 Total (Eskom+IPP),0
202303 / 202403,2022-23 Total (Eskom+IPP),300.5
