Week_Start_End_Date;Outage_Intervals;Class_Upper_IntVL;Total_T_Range;TTL_Per_INTERVAL;Total_T_Range_DESC
Sunday 2023-02-05 To Saturday 2023-02-11;13600; to 14200;1,000000;2;From_13600 To_14200
Sunday 2023-01-29 To Saturday 2023-02-04;14200; to 14800;3,000000;5;From_14200 To_14800
Sunday 2023-02-05 To Saturday 2023-02-11;14200; to 14800;4,000000;6;From_14200 To_14800
Sunday 2023-01-29 To Saturday 2023-02-04;14800; to 15400;13,000000;21;From_14800 To_15400
Sunday 2023-02-05 To Saturday 2023-02-11;14800; to 15400;18,000000;31;From_14800 To_15400
Sunday 2023-01-29 To Saturday 2023-02-04;15400; to 16000;13,000000;22;From_15400 To_16000
Sunday 2023-02-05 To Saturday 2023-02-11;15400; to 16000;32,000000;54;From_15400 To_16000
Sunday 2023-01-29 To Saturday 2023-02-04;16000; to 16600;2,000000;4;From_16000 To_16600
Sunday 2023-02-05 To Saturday 2023-02-11;16000; to 16600;19,000000;32;From_16000 To_16600
Sunday 2023-02-05 To Saturday 2023-02-11;16600; to 17200;8,000000;13;From_16600 To_17200
Sunday 2023-01-29 To Saturday 2023-02-04;16600; to 17200;14,000000;24;From_16600 To_17200
Sunday 2023-02-05 To Saturday 2023-02-11;17200; to 17800;4,000000;6;From_17200 To_17800
Sunday 2023-01-29 To Saturday 2023-02-04;17200; to 17800;21,000000;36;From_17200 To_17800
Sunday 2023-01-29 To Saturday 2023-02-04;17800; to 18400;23,000000;39;From_17800 To_18400
Sunday 2023-01-29 To Saturday 2023-02-04;18400; to 19000;7,000000;12;From_18400 To_19000
Sunday 2023-01-29 To Saturday 2023-02-04;19000; to 19600;3,000000;5;From_19000 To_19600
