Week_Start_End_Date,Outage_Intervals,Class_Upper_IntVL,Total_T_Range,TTL_Per_INTERVAL,Total_T_Range_DESC
Thursday 2023-04-20 To Wednesday 2023-04-26,14200, to 14800,2,000000,4,From_14200 To_14800
Thursday 2023-04-20 To Wednesday 2023-04-26,14800, to 15400,5,000000,8,From_14800 To_15400
Thursday 2023-04-13 To Wednesday 2023-04-19,14800, to 15400,5,000000,9,From_14800 To_15400
Thursday 2023-04-13 To Wednesday 2023-04-19,15400, to 16000,17,000000,28,From_15400 To_16000
Thursday 2023-04-20 To Wednesday 2023-04-26,15400, to 16000,30,000000,50,From_15400 To_16000
Thursday 2023-04-13 To Wednesday 2023-04-19,16000, to 16600,18,000000,30,From_16000 To_16600
Thursday 2023-04-20 To Wednesday 2023-04-26,16000, to 16600,35,000000,58,From_16000 To_16600
Thursday 2023-04-20 To Wednesday 2023-04-26,16600, to 17200,12,000000,20,From_16600 To_17200
Thursday 2023-04-13 To Wednesday 2023-04-19,16600, to 17200,16,000000,27,From_16600 To_17200
Thursday 2023-04-20 To Wednesday 2023-04-26,17200, to 17800,1,000000,2,From_17200 To_17800
Thursday 2023-04-13 To Wednesday 2023-04-19,17200, to 17800,24,000000,40,From_17200 To_17800
Thursday 2023-04-20 To Wednesday 2023-04-26,17800, to 18400,1,000000,2,From_17800 To_18400
Thursday 2023-04-13 To Wednesday 2023-04-19,17800, to 18400,18,000000,30,From_17800 To_18400
Thursday 2023-04-13 To Wednesday 2023-04-19,18400, to 19000,2,000000,4,From_18400 To_19000
