Week_min_DateKey;Min of UCLF+OCLF;Average of UCLF+OCLF;Max of UCLF+OCLF
2022-04-04;11469,880999999999;12936,411517857141;14736,718999999999
2022-04-11;13267,468999999999;15025,259297619052;17017,164000000001
2022-04-18;14502,169;15569,744339285709;17086,553
2022-04-25;13358,325999999999;14398,202059523806;15573,154
2022-05-02;13324,67;14767,844863095243;15789,146000000001
2022-05-09;14471,323;16148,727660714287;18612,650000000001
2022-05-16;14019,778;16241,860005952381;17728,969000000001
2022-05-23;13261,768;15067,706279761916;16697,323
2022-05-30;13104,849;14597,77033333333;16541,011999999999
2022-06-06;13807,061;14876,972803571422;16206,374
2022-06-13;13564,116;14632,652726190474;16269,996999999999
2022-06-20;12586,847;15355,077422619046;17797,68
2022-06-27;14097,065000000001;17147,392005952381;18739,907999999999
2022-07-04;14352,963;16567,412779761908;19492,499
2022-07-11;13209,703;14762,811285714284;16663,078000000001
2022-07-18;12728,51;15079,672488095237;16734,204000000002
2022-07-25;12466,268;14794,904214285716;16950,133000000002
2022-08-01;12206,076999999999;14880,818130952381;16910,832999999999
2022-08-08;11583,915999999999;12973,028130952383;15385,549999999999
2022-08-15;12915,995999999999;14190,690607142851;15291,633
2022-08-22;10902,540999999999;13400,147184523816;15240,835999999999
2022-08-29;11157,189;14231,055363095238;16233,334999999999
2022-09-05;13422,802;15518,004559523803;16950,506000000001
2022-09-12;14461,543;16025,062428571422;17862,477999999999
2022-09-19;15918,039000000001;17296,484803571424;19214,761999999999
2022-09-26;14041,947;15686,06944642857;17419,454000000002
2022-10-03;12774,906999999999;13924,383815476191;15308,057000000001
2022-10-10;12118,841;14284,366470238097;16079,021000000001
2022-10-17;14283,831;15491,672714285716;16963,468000000001
2022-10-24;12921,771000000001;14653,538625000001;16769,519
2022-10-31;13103,795;14615,705940476195;16418,509999999998
2022-11-07;13704,983;15502,319422619044;17376,394
2022-11-14;13711,679;15679,479755952381;17642,413
2022-11-21;13250,165999999999;13734,283750000001;14656,066000000001
