report_generated_date,forecast_date,week_number,rsa_contracted_forecast,residual_forecast,available_dispatchable_capacity,available_capacity_less_or_ua,planned_maintenance,unplanned_outage_assumption,planned_risk_level,likely_risk_scenario,report_file_name
2022-09-14,2022-09-19,38,31079,29668,45367,30167,4658,13000,499,-1001,Weekly_System_Status_Report_2022_w37.txt
2022-09-14,2022-09-26,39,31082,29403,43329,28129,6696,13000,-1274,-2774,Weekly_System_Status_Report_2022_w37.txt
2022-09-14,2022-10-03,40,31478,29373,43409,28209,6616,13000,-1164,-2664,Weekly_System_Status_Report_2022_w37.txt
2022-09-14,2022-10-10,41,31429,29325,43852,28652,6173,13000,-673,-2173,Weekly_System_Status_Report_2022_w37.txt
2022-09-14,2022-10-17,42,31228,29242,43523,28323,6502,13000,-920,-2420,Weekly_System_Status_Report_2022_w37.txt
2022-09-14,2022-10-24,43,30980,29016,42957,27757,7068,13000,-1259,-2759,Weekly_System_Status_Report_2022_w37.txt
2022-09-14,2022-10-31,44,30822,28857,43023,27823,7002,13000,-1035,-2535,Weekly_System_Status_Report_2022_w37.txt
2022-09-14,2022-11-07,45,31255,29072,42565,27365,7460,13000,-1707,-3207,Weekly_System_Status_Report_2022_w37.txt
2022-09-14,2022-11-14,46,31172,28989,43226,28026,6799,13000,-963,-2463,Weekly_System_Status_Report_2022_w37.txt
2022-09-14,2022-11-21,47,30803,28621,42314,27114,7711,13000,-1507,-3007,Weekly_System_Status_Report_2022_w37.txt
2022-09-14,2022-11-28,48,30591,28409,42113,26913,7912,13000,-1496,-2996,Weekly_System_Status_Report_2022_w37.txt
2022-09-14,2022-12-05,49,30739,28552,42751,27551,7274,13000,-1002,-2502,Weekly_System_Status_Report_2022_w37.txt
2022-09-14,2022-12-12,50,30308,28121,42191,26991,7834,13000,-1130,-2630,Weekly_System_Status_Report_2022_w37.txt
2022-09-14,2022-12-19,51,29318,27132,41266,26066,8759,13000,-1066,-2566,Weekly_System_Status_Report_2022_w37.txt
2022-09-14,2022-12-26,52,26867,24680,39986,24786,10039,13000,106,-1394,Weekly_System_Status_Report_2022_w37.txt
2022-09-14,2023-01-02,1,28588,26066,41191,25991,8834,13000,-75,-1575,Weekly_System_Status_Report_2022_w37.txt
2022-09-14,2023-01-09,2,29704,27670,41863,26663,8162,13000,-1007,-2507,Weekly_System_Status_Report_2022_w37.txt
2022-09-14,2023-01-16,3,30496,28461,41793,26593,8232,13000,-1868,-3368,Weekly_System_Status_Report_2022_w37.txt
2022-09-14,2023-01-23,4,30174,28139,41963,26763,8062,13000,-1376,-2876,Weekly_System_Status_Report_2022_w37.txt
2022-09-14,2023-01-30,5,30383,28349,42180,26980,7845,13000,-1369,-2869,Weekly_System_Status_Report_2022_w37.txt
2022-09-14,2023-02-06,6,30997,29208,43324,28124,6701,13000,-1084,-2584,Weekly_System_Status_Report_2022_w37.txt
2022-09-14,2023-02-13,7,30835,29045,43124,27924,6901,13000,-1121,-2621,Weekly_System_Status_Report_2022_w37.txt
2022-09-14,2023-02-20,8,30909,29119,42646,27446,7379,13000,-1673,-3173,Weekly_System_Status_Report_2022_w37.txt
2022-09-14,2023-02-27,9,30721,29153,43291,28091,6734,13000,-1062,-2562,Weekly_System_Status_Report_2022_w37.txt
2022-09-14,2023-03-06,10,31153,29585,43775,28575,6250,13000,-1010,-2510,Weekly_System_Status_Report_2022_w37.txt
2022-09-14,2023-03-13,11,30805,29237,43923,28723,6102,13000,-514,-2014,Weekly_System_Status_Report_2022_w37.txt
2022-09-14,2023-03-20,12,31014,29366,43941,28741,6084,13000,-625,-2125,Weekly_System_Status_Report_2022_w37.txt
2022-09-14,2023-03-27,13,30853,29206,43751,28551,6274,13000,-655,-2155,Weekly_System_Status_Report_2022_w37.txt
2022-09-14,2023-04-03,14,32219,30573,45246,30046,4779,13000,-527,-2027,Weekly_System_Status_Report_2022_w37.txt
2022-09-14,2023-04-10,15,32493,30846,45156,29956,4869,13000,-890,-2390,Weekly_System_Status_Report_2022_w37.txt
2022-09-14,2023-04-17,16,32984,31338,45741,30541,4284,13000,-797,-2297,Weekly_System_Status_Report_2022_w37.txt
2022-09-14,2023-04-24,17,33668,32021,46336,31136,3689,13000,-885,-2385,Weekly_System_Status_Report_2022_w37.txt
2022-09-14,2023-05-01,18,33601,32419,46911,31711,3114,13000,-708,-2208,Weekly_System_Status_Report_2022_w37.txt
2022-09-14,2023-05-08,19,34531,33349,47741,32541,2284,13000,-808,-2308,Weekly_System_Status_Report_2022_w37.txt
2022-09-14,2023-05-15,20,34704,33522,47931,32731,2094,13000,-791,-2291,Weekly_System_Status_Report_2022_w37.txt
2022-09-14,2023-05-22,21,35031,33849,48131,32931,1894,13000,-918,-2418,Weekly_System_Status_Report_2022_w37.txt
2022-09-14,2023-05-29,22,35849,34667,48074,32874,1951,13000,-1793,-3293,Weekly_System_Status_Report_2022_w37.txt
